operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1380,2280,10,21,0,1500,120,974.61,854.61,0 - (0.00)%,0 - (0.00)%
1,0,960,2280,3,6,0,540,0,269.57,269.57,0 - (0.00)%,0 - (0.00)%
2,0,1800,2280,4,11,0,960,0,461.36,416.36,0 - (0.00)%,0 - (0.00)%
3,1,1980,2280,12,22,7,1320,0,1029.68,984.68,11 - (50.00)%,660 - (50.00)%
4,0,1740,2280,7,15,0,1140,0,752.63,632.63,0 - (0.00)%,0 - (0.00)%
5,0,1200,2280,9,18,1,1080,0,1088.46,1043.46,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,9,16,1,1050,0,1150.01,1105.01,3 - (18.75)%,180 - (17.14)%
7,0,1140,2280,8,19,2,1290,150,1284.67,1149.67,0 - (0.00)%,0 - (0.00)%
8,0,1020,2280,9,14,0,990,0,401.12,236.12,0 - (0.00)%,0 - (0.00)%
9,0,1620,2280,9,17,0,1290,0,829.65,769.65,0 - (0.00)%,0 - (0.00)%
10,0,1560,2280,9,17,0,1290,0,995.63,950.63,0 - (0.00)%,0 - (0.00)%
11,0,1440,2280,3,5,0,300,0,201.71,171.71,0 - (0.00)%,0 - (0.00)%
12,0,900,2280,7,14,2,960,60,659.02,569.02,0 - (0.00)%,0 - (0.00)%
13,1,1860,2280,6,18,0,1380,0,810.7,720.7,11 - (61.11)%,870 - (63.04)%
14,1,2040,2280,7,15,2,1050,0,1433.81,1403.81,8 - (53.33)%,510 - (48.57)%
15,0,1320,2280,8,16,1,990,0,1292.81,1262.81,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,15.25,1.0,1070.62,20.62,852.22,783.78,8.25 - (45.8%),555.0 - (44.69%)
min,-,900,-,3,5,0,300,0,201.71,171.71,3 - (18.75%),180 - (17.14%)
25th percentile,-,1185.0,-,6.75,14.0,0.0,982.5,0.0,609.6,530.86,6.75 - (42.19%),427.5 - (40.71%)
75th percentile,-,1815.0,-,9.0,18.0,1.25,1290.0,0.0,1103.85,1058.85,11.0 - (55.28%),712.5 - (53.26%)
max,-,2160,-,12,22,7,1500,150,1433.81,1403.81,11 - (61.11%),870 - (63.04%)
total,-,24120,36480,120,244,16,17130,330,13635.44,12540.439999999999,33,2220
