test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,15.12,0.75,1078.12,1.88,827.37,759.87,6.5 - (43.46%),517.5 - (45.78%),22379.38,9.6336e-05,107.48
1,mean,-,1507.5,2280.0,7.5,14.62,1.06,1074.38,5.62,772.05,697.99,8.5 - (43.63%),562.5 - (40.97%),27771.8,9.9388e-05,168.06
2,mean,-,1507.5,2280.0,7.5,15.31,0.88,1070.62,43.12,730.3,647.8,8.0 - (45.15%),592.5 - (44.53%),24366.25,8.6208e-05,82.24
3,mean,-,1507.5,2280.0,7.5,14.88,1.44,1040.62,22.5,887.86,839.11,6.0 - (33.75%),420.0 - (33.0%),34606.65,9.9684e-05,1534.02
4,mean,-,1507.5,2280.0,7.5,15.69,0.69,1104.38,16.88,815.61,750.93,10.0 - (51.65%),727.5 - (52.52%),21996.29,9.505e-05,2207.37

0,total,-,24120,36480,120,242,12,17250,30,13237.97,12157.97,26,2070,22379.38,9.6336e-05,107.48
1,total,-,24120,36480,120,234,17,17190,90,12352.84,11167.84,34,2250,27771.8,9.9388e-05,168.06
2,total,-,24120,36480,120,245,14,17130,690,11684.800000000001,10364.8,32,2370,24366.25,8.6208e-05,82.24
3,total,-,24120,36480,120,238,23,16650,360,14205.689999999999,13425.689999999999,24,1680,34606.65,9.9684e-05,1534.02
4,total,-,24120,36480,120,251,11,17670,270,13049.82,12014.82,40,2910,21996.29,9.505e-05,2207.37
