operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2160,2280,8,16,1,1140,0,415,250,12 - (75.00)%,870 - (76.32)%
1,1,1980,2280,10,21,4,1380,0,679,544,7 - (33.33)%,420 - (30.43)%
2,0,1800,2280,7,10,0,600,0,283,208,0 - (0.00)%,0 - (0.00)%
3,0,1260,2280,4,8,0,570,0,304,184,0 - (0.00)%,0 - (0.00)%
4,0,1080,2280,6,13,0,840,0,452,407,0 - (0.00)%,0 - (0.00)%
5,0,1620,2280,10,22,2,1530,0,628,478,0 - (0.00)%,0 - (0.00)%
6,0,1440,2280,10,20,6,1260,0,697,607,0 - (0.00)%,0 - (0.00)%
7,0,900,2280,5,12,0,810,0,300,150,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.25,1.62,1016.25,0.0,469.75,353.5,9.5 - (54.16%),645.0 - (53.38%)
min,-,900,-,4,8,0,570,0,283,150,7 - (33.33%),420 - (30.43%)
25th percentile,-,1215.0,-,5.75,11.5,0.0,757.5,0.0,303.0,202.0,8.25 - (43.75%),532.5 - (41.9%)
75th percentile,-,1845.0,-,10.0,20.25,2.5,1290.0,0.0,640.75,494.5,10.75 - (64.58%),757.5 - (64.85%)
max,-,2160,-,10,22,6,1530,0,697,607,12 - (75.00%),870 - (76.32%)
total,-,12240,18240,60,122,13,8130,0,3758,2828,19,1290
