operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,9,19,1,1350,0,631,496,0 - (0.00)%,0 - (0.00)%
1,0,1080,2280,9,15,0,1080,0,449,404,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,4,8,0,720,0,276,216,0 - (0.00)%,0 - (0.00)%
3,0,1800,2280,5,9,0,750,0,263,128,0 - (0.00)%,0 - (0.00)%
4,0,1260,2280,7,15,0,1140,0,440,365,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,10,15,7,1020,0,514,409,8 - (53.33)%,540 - (52.94)%
6,0,900,2280,7,13,1,780,0,491,386,0 - (0.00)%,0 - (0.00)%
7,1,1980,2280,9,20,4,1290,0,582,477,11 - (55.00)%,720 - (55.81)%

mean,-,1530.0,2280.0,7.5,14.25,1.62,1016.25,0.0,455.75,360.12,9.5 - (54.16%),630.0 - (54.38%)
min,-,900,-,4,8,0,720,0,263,128,8 - (53.33%),540 - (52.94%)
25th percentile,-,1215.0,-,6.5,12.0,0.0,772.5,0.0,399.0,327.75,8.75 - (53.75%),585.0 - (53.66%)
75th percentile,-,1845.0,-,9.0,16.0,1.75,1177.5,0.0,531.0,426.0,10.25 - (54.58%),675.0 - (55.09%)
max,-,2160,-,10,20,7,1350,0,631,496,11 - (55.00%),720 - (55.81%)
total,-,12240,18240,60,114,13,8130,0,3646,2881,19,1260
