operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,4,7,0,420,0,396,336,0 - (0.00)%,0 - (0.00)%
1,0,1620,2280,8,14,2,1020,0,541,436,0 - (0.00)%,0 - (0.00)%
2,0,1260,2280,11,15,9,1020,0,614,554,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,7,13,4,930,30,481,376,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,6,11,1,900,0,475,400,7 - (63.64)%,480 - (53.33)%
5,0,1800,2280,7,12,1,900,0,372,312,0 - (0.00)%,0 - (0.00)%
6,0,1080,2280,8,16,1,1170,90,567,432,0 - (0.00)%,0 - (0.00)%
7,1,2160,2280,9,18,2,1110,0,657,492,6 - (33.33)%,360 - (32.43)%

mean,-,1530.0,2280.0,7.5,13.25,2.5,933.75,15.0,512.88,417.25,6.5 - (48.48%),420.0 - (42.88%)
min,-,900,-,4,7,0,420,0,372,312,6 - (33.33%),360 - (32.43%)
25th percentile,-,1215.0,-,6.75,11.75,1.0,900.0,0.0,455.25,366.0,6.25 - (40.91%),390.0 - (37.66%)
75th percentile,-,1845.0,-,8.25,15.25,2.5,1042.5,7.5,578.75,450.0,6.75 - (56.06%),450.0 - (48.1%)
max,-,2160,-,11,18,9,1170,90,657,554,7 - (63.64%),480 - (53.33%)
total,-,12240,18240,60,106,20,7470,120,4103,3338,13,840
