test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,13.62,1.62,1005.0,0.0,443.75,282.5,7.5 - (45.94%),540.0 - (48.24%),16804,0,2.1
1,mean,-,1530.0,2280.0,7.5,13.12,2.25,930.0,22.5,560.75,465.12,7.5 - (52.56%),570.0 - (52.24%),21803.58,0,2.01
2,mean,-,1530.0,2280.0,7.5,14.5,2.0,1001.25,90.0,604.25,506.75,6.0 - (37.5%),390.0 - (38.5%),20664.32,0,2.35
3,mean,-,1530.0,2280.0,7.5,14.88,1.62,1031.25,60.0,556.12,443.62,11.5 - (58.95%),720.0 - (58.57%),17129.88,0,2.06
4,mean,-,1530.0,2280.0,7.5,14.75,1.12,1068.75,67.5,613.12,510.0,5.0 - (35.0%),420.0 - (35.56%),13444.74,2.0826e-05,2.65
5,mean,-,1530.0,2280.0,7.5,14.0,2.12,975.0,33.75,590.75,510.12,9.0 - (53.34%),585.0 - (53.36%),20738.87,0,2.33
6,mean,-,1530.0,2280.0,7.5,13.62,2.12,986.25,0.0,558.25,457.0,9.5 - (52.48%),570.0 - (44.54%),21354,0,2.17
7,mean,-,1530.0,2280.0,7.5,14.0,1.88,993.75,3.75,570.88,486.5,5.0 - (38.09%),450.0 - (43.44%),19390.43,0,3.27
8,mean,-,1530.0,2280.0,7.5,13.88,2.25,975.0,26.25,473.62,381.75,9.0 - (53.89%),540.0 - (52.43%),21795.01,0,1.92
9,mean,-,1530.0,2280.0,7.5,14.62,1.5,997.5,0.0,629.0,535.25,8.5 - (48.24%),600.0 - (48.26%),16857,0,2.3

0,total,-,12240,18240,60,109,13,8040,0,3550,2260,15,1080,16804,0,2.1
1,total,-,12240,18240,60,105,18,7440,180,4486,3721,15,1140,21803.58,0,2.01
2,total,-,12240,18240,60,116,16,8010,720,4834,4054,12,780,20664.32,0,2.35
3,total,-,12240,18240,60,119,13,8250,480,4449,3549,23,1440,17129.88,0,2.06
4,total,-,12240,18240,60,118,9,8550,540,4905,4080,10,840,13444.74,2.0826e-05,2.65
5,total,-,12240,18240,60,112,17,7800,270,4726,4081,18,1170,20738.87,0,2.33
6,total,-,12240,18240,60,109,17,7890,0,4466,3656,19,1140,21354,0,2.17
7,total,-,12240,18240,60,112,15,7950,30,4567,3892,10,900,19390.43,0,3.27
8,total,-,12240,18240,60,111,18,7800,210,3789,3054,18,1080,21795.01,0,1.92
9,total,-,12240,18240,60,117,12,7980,0,5032,4282,17,1200,16857,0,2.3
