operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,5,10,0,870,0,318,198,0 - (0.00)%,0 - (0.00)%
1,0,1620,2280,7,17,0,1380,0,548,368,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,8,13,0,900,0,443,368,0 - (0.00)%,0 - (0.00)%
3,1,1980,2280,9,20,2,1590,0,625,430,7 - (35.00)%,570 - (35.85)%
4,0,1080,2280,8,14,2,930,0,682,622,0 - (0.00)%,0 - (0.00)%
5,0,1260,2280,8,18,1,1140,0,892,772,0 - (0.00)%,0 - (0.00)%
6,0,1800,2280,5,6,1,420,0,284,254,0 - (0.00)%,0 - (0.00)%
7,1,2160,2280,10,19,2,1320,0,504,264,11 - (57.89)%,840 - (63.64)%

mean,-,1530.0,2280.0,7.5,14.62,1.0,1068.75,0.0,537.0,409.5,9.0 - (46.45%),705.0 - (49.74%)
min,-,900,-,5,6,0,420,0,284,198,7 - (35.00%),570 - (35.85%)
25th percentile,-,1215.0,-,6.5,12.25,0.0,892.5,0.0,411.75,261.5,8.0 - (40.72%),637.5 - (42.8%)
75th percentile,-,1845.0,-,8.25,18.25,2.0,1335.0,0.0,639.25,478.0,10.0 - (52.17%),772.5 - (56.69%)
max,-,2160,-,10,20,2,1590,0,892,772,11 - (57.89%),840 - (63.64%)
total,-,12240,18240,60,117,8,8550,0,4296,3276,18,1410
