operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2160,2280,9,15,2,1170,0,687.67,597.67,9 - (60.00)%,660 - (56.41)%
1,1,1980,2280,12,17,4,1470,0,808.73,718.73,10 - (58.82)%,780 - (53.06)%
2,0,900,2280,5,14,0,900,0,671.25,581.25,0 - (0.00)%,0 - (0.00)%
3,0,1080,2280,7,16,0,1020,0,444.58,234.58,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,7,15,0,1050,0,522.63,402.63,0 - (0.00)%,0 - (0.00)%
5,0,1440,2280,7,17,1,1020,0,330.0,0,0 - (0.00)%,0 - (0.00)%
6,0,1800,2280,7,13,0,780,0,379.36,244.36,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,6,14,0,1080,0,285.0,0,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.12,0.88,1061.25,0.0,516.15,347.4,9.5 - (59.41%),720.0 - (54.73%)
min,-,900,-,5,13,0,780,0,285.0,0.0,9 - (58.82%),660 - (53.06%)
25th percentile,-,1215.0,-,6.75,14.0,0.0,990.0,0.0,367.02,175.94,9.25 - (59.12%),690.0 - (53.9%)
75th percentile,-,1845.0,-,7.5,16.25,1.25,1102.5,0.0,675.36,585.36,9.75 - (59.7%),750.0 - (55.57%)
max,-,2160,-,12,17,4,1470,0,808.73,718.73,10 - (60.00%),780 - (56.41%)
total,-,12240,18240,60,121,7,8490,0,4129.22,2779.2200000000003,19,1440
