test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,13.62,2.0,986.25,0.0,545.38,434.75,3.5 - (29.16%),210.0 - (24.05%),20165.69,0,2.77
1,mean,-,1530.0,2280.0,7.5,13.75,1.75,1016.25,86.25,466.21,379.96,6.5 - (39.16%),450.0 - (40.39%),17977.94,0,1.98
2,mean,-,1530.0,2280.0,7.5,12.88,2.62,941.25,0.0,521.62,397.87,8.0 - (54.32%),660.0 - (61.76%),24668.54,0,2.11
3,mean,-,1530.0,2280.0,7.5,14.88,1.25,1023.75,22.5,556.31,451.31,9.0 - (48.34%),585.0 - (48.48%),14609.79,0,2.4
4,mean,-,1530.0,2280.0,7.5,14.38,1.88,986.25,11.25,515.76,405.13,7.5 - (45.03%),540.0 - (50.0%),19280.76,0,2.48
5,mean,-,1530.0,2280.0,7.5,13.62,2.62,956.25,7.5,617.31,489.81,7.5 - (54.62%),570.0 - (57.66%),25125.66,0,2.34
6,mean,-,1530.0,2280.0,7.5,13.38,3.38,900.0,0.0,518.19,415.07,5.5 - (37.05%),330.0 - (34.98%),31046.39,0,2.43
7,mean,-,1530.0,2280.0,7.5,13.12,2.88,937.5,0.0,417.54,297.54,5.5 - (35.62%),375.0 - (34.75%),26578.54,0,2.09

0,total,-,12240,18240,60,109,16,7890,0,4363.02,3478.02,7,420,20165.69,0,2.77
1,total,-,12240,18240,60,110,14,8130,690,3729.7,3039.7,13,900,17977.94,0,1.98
2,total,-,12240,18240,60,103,21,7530,0,4172.969999999999,3182.97,16,1320,24668.54,0,2.11
3,total,-,12240,18240,60,119,10,8190,180,4450.469999999999,3610.47,18,1170,14609.79,0,2.4
4,total,-,12240,18240,60,115,15,7890,90,4126.049999999999,3241.0499999999997,15,1080,19280.76,0,2.48
5,total,-,12240,18240,60,109,21,7650,60,4938.48,3918.48,15,1140,25125.66,0,2.34
6,total,-,12240,18240,60,107,27,7200,0,4145.530000000001,3320.53,11,660,31046.39,0,2.43
7,total,-,12240,18240,60,105,23,7500,0,3340.34,2380.34,11,750,26578.54,0,2.09
