operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2160,2280,9,20,6,1290,0,548,398,7 - (35.00)%,420 - (32.56)%
1,0,900,2280,6,11,0,780,0,300,180,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,7,18,0,1140,0,761,686,10 - (55.56)%,600 - (52.63)%
3,0,1620,2280,8,15,0,1020,0,531,456,0 - (0.00)%,0 - (0.00)%
4,0,1260,2280,6,19,1,1350,90,794,644,0 - (0.00)%,0 - (0.00)%
5,0,1080,2280,7,14,0,960,0,609,504,0 - (0.00)%,0 - (0.00)%
6,0,1800,2280,8,11,1,720,0,293,158,0 - (0.00)%,0 - (0.00)%
7,0,1440,2280,9,19,0,1380,0,645,510,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.88,1.0,1080.0,11.25,560.12,442.0,8.5 - (45.28%),510.0 - (42.6%)
min,-,900,-,6,11,0,720,0,293,158,7 - (35.00%),420 - (32.56%)
25th percentile,-,1215.0,-,6.75,13.25,0.0,915.0,0.0,473.25,343.5,7.75 - (40.14%),465.0 - (37.58%)
75th percentile,-,1845.0,-,8.25,19.0,1.0,1305.0,0.0,674.0,543.5,9.25 - (50.42%),555.0 - (47.61%)
max,-,2160,-,9,20,6,1380,90,794,686,10 - (55.56%),600 - (52.63%)
total,-,12240,18240,60,127,8,8640,90,4481,3536,17,1020
