operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,9,17,5,1260,0,699,564,6 - (35.29)%,420 - (33.33)%
1,0,1260,2280,11,13,6,960,0,776,701,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,5,10,1,630,0,306,156,0 - (0.00)%,0 - (0.00)%
3,0,1620,2280,4,4,1,240,0,105,0,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,7,18,1,1230,0,924,849,7 - (38.89)%,480 - (39.02)%
5,0,1800,2280,10,19,2,1320,0,636,426,0 - (0.00)%,0 - (0.00)%
6,0,1080,2280,4,8,1,540,0,522,432,0 - (0.00)%,0 - (0.00)%
7,0,900,2280,10,16,10,1140,240,681,576,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.12,3.38,915.0,30.0,581.12,463.0,6.5 - (37.09%),450.0 - (36.17%)
min,-,900,-,4,4,1,240,0,105,0,6 - (35.29%),420 - (33.33%)
25th percentile,-,1215.0,-,4.75,9.5,1.0,607.5,0.0,468.0,358.5,6.25 - (36.19%),435.0 - (34.75%)
75th percentile,-,1845.0,-,10.0,17.25,5.25,1237.5,0.0,718.25,607.25,6.75 - (37.99%),465.0 - (37.6%)
max,-,2160,-,11,19,10,1320,240,924,849,7 - (38.89%),480 - (39.02%)
total,-,12240,18240,60,105,27,7320,240,4649,3704,13,900
