operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1560,2280,8,17,0,1080,0,989.07,974.07,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,8,16,2,1290,0,764.66,659.66,3 - (18.75)%,270 - (20.93)%
2,1,2040,2280,7,15,1,1110,0,888.02,798.02,10 - (66.67)%,720 - (64.86)%
3,0,1140,2280,7,14,1,1050,0,845.74,830.74,0 - (0.00)%,0 - (0.00)%
4,0,1380,2280,6,12,0,1080,0,730.11,730.11,0 - (0.00)%,0 - (0.00)%
5,0,1620,2280,9,16,2,1200,0,723.06,723.06,0 - (0.00)%,0 - (0.00)%
6,0,900,2280,3,4,1,360,0,105.0,0,0 - (0.00)%,0 - (0.00)%
7,1,1980,2280,10,19,2,1170,0,1039.61,1024.61,13 - (68.42)%,780 - (66.67)%
8,0,1740,2280,9,18,2,1110,0,768.38,753.38,0 - (0.00)%,0 - (0.00)%
9,0,1020,2280,4,8,0,660,0,698.64,653.64,0 - (0.00)%,0 - (0.00)%
10,0,1800,2280,8,18,1,1290,0,1171.8,1096.8,0 - (0.00)%,0 - (0.00)%
11,1,1860,2280,11,18,2,1260,0,1236.64,1206.64,9 - (50.00)%,660 - (52.38)%
12,0,1200,2280,6,15,0,1050,0,567.53,522.53,0 - (0.00)%,0 - (0.00)%
13,0,960,2280,5,8,0,480,0,363.81,333.81,0 - (0.00)%,0 - (0.00)%
14,0,1440,2280,9,14,2,990,0,679.45,634.45,0 - (0.00)%,0 - (0.00)%
15,0,1320,2280,10,19,9,1320,0,947.7,797.7,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,14.44,1.56,1031.25,0.0,782.45,733.7,8.75 - (50.96%),607.5 - (51.21%)
min,-,900,-,3,4,0,360,0,105.0,0.0,3 - (18.75%),270 - (20.93%)
25th percentile,-,1185.0,-,6.0,13.5,0.0,1035.0,0.0,693.84,648.84,7.5 - (42.19%),562.5 - (44.52%)
75th percentile,-,1815.0,-,9.0,18.0,2.0,1215.0,0.0,958.04,866.57,10.75 - (67.11%),735.0 - (65.31%)
max,-,2160,-,11,19,9,1320,0,1236.64,1206.64,13 - (68.42%),780 - (66.67%)
total,-,24120,36480,120,231,25,16500,0,12519.220000000001,11739.220000000001,35,2430
