operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1260,2280,6,10,1,750,0,403,328,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,9,13,4,930,0,826,751,0 - (0.00)%,0 - (0.00)%
2,0,1080,2280,8,10,4,780,0,638,593,0 - (0.00)%,0 - (0.00)%
3,0,1620,2280,5,12,0,930,0,550,460,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,8,12,3,960,0,540,480,7 - (58.33)%,540 - (56.25)%
5,0,1800,2280,6,11,2,840,0,625,550,0 - (0.00)%,0 - (0.00)%
6,0,900,2280,10,15,5,960,60,624,504,0 - (0.00)%,0 - (0.00)%
7,1,1980,2280,8,19,1,1290,0,402,72,10 - (52.63)%,690 - (53.49)%

mean,-,1530.0,2280.0,7.5,12.75,2.5,930.0,7.5,576.0,467.25,8.5 - (55.48%),615.0 - (54.87%)
min,-,900,-,5,10,0,750,0,402,72,7 - (52.63%),540 - (53.49%)
25th percentile,-,1215.0,-,6.0,10.75,1.0,825.0,0.0,505.75,427.0,7.75 - (54.06%),577.5 - (54.18%)
75th percentile,-,1845.0,-,8.25,13.5,4.0,960.0,0.0,628.25,560.75,9.25 - (56.9%),652.5 - (55.56%)
max,-,2160,-,10,19,5,1290,60,826,751,10 - (58.33%),690 - (56.25%)
total,-,12240,18240,60,102,20,7440,60,4608,3738,17,1230
