test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,13.88,1.88,1008.75,26.25,507.62,387.62,6.0 - (37.5%),390.0 - (33.88%),19189.01,0,2.17
1,mean,-,1530.0,2280.0,7.5,13.75,2.0,971.25,3.75,562.62,472.62,9.0 - (48.81%),570.0 - (47.22%),19952.43,0,2.02
2,mean,-,1530.0,2280.0,7.5,14.25,1.62,1016.25,0.0,455.75,360.12,9.5 - (54.16%),630.0 - (54.38%),17064,1.6409e-05,2.34
3,mean,-,1530.0,2280.0,7.5,13.75,1.75,1008.75,3.75,521.75,431.75,9.5 - (52.5%),705.0 - (52.18%),17885.43,3.913800228e-06,2.5
4,mean,-,1530.0,2280.0,7.5,13.88,1.88,986.25,0.0,431.12,301.75,9.5 - (46.21%),630.0 - (45.17%),18584,0,1.86
5,mean,-,1530.0,2280.0,7.5,13.75,2.0,978.75,22.5,494.5,404.5,12.0 - (63.09%),855.0 - (63.78%),19801.58,0,2.25
6,mean,-,1530.0,2280.0,7.5,14.12,1.62,1020.0,0.0,541.25,455.0,10.0 - (56.58%),675.0 - (55.72%),17070,0,2.2
7,mean,-,1530.0,2280.0,7.5,13.62,1.25,1023.75,0.0,479.0,334.62,10.5 - (55.95%),705.0 - (51.42%),13707,0,2.11
8,mean,-,1530.0,2280.0,7.5,14.0,2.25,967.5,0.0,460.25,357.12,9.0 - (50.0%),645.0 - (49.62%),21837,0,2.17
9,mean,-,1530.0,2280.0,7.5,15.5,1.38,1050.0,78.75,530.38,432.88,9.0 - (44.95%),570.0 - (43.15%),15098.03,0,2.26

0,total,-,12240,18240,60,111,15,8070,210,4061,3101,12,780,19189.01,0,2.17
1,total,-,12240,18240,60,110,16,7770,30,4501,3781,18,1140,19952.43,0,2.02
2,total,-,12240,18240,60,114,13,8130,0,3646,2881,19,1260,17064,1.6409e-05,2.34
3,total,-,12240,18240,60,110,14,8070,30,4174,3454,19,1410,17885.43,3.913800228e-06,2.5
4,total,-,12240,18240,60,111,15,7890,0,3449,2414,19,1260,18584,0,1.86
5,total,-,12240,18240,60,110,16,7830,180,3956,3236,24,1710,19801.58,0,2.25
6,total,-,12240,18240,60,113,13,8160,0,4330,3640,20,1350,17070,0,2.2
7,total,-,12240,18240,60,109,10,8190,0,3832,2677,21,1410,13707,0,2.11
8,total,-,12240,18240,60,112,18,7740,0,3682,2857,18,1290,21837,0,2.17
9,total,-,12240,18240,60,124,11,8400,630,4243,3463,18,1140,15098.03,0,2.26
