operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1260,2280,8,14,2,990,0,589,514,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,8,17,4,1140,0,593,428,6 - (35.29)%,360 - (31.58)%
2,0,900,2280,7,13,1,870,0,520,430,0 - (0.00)%,0 - (0.00)%
3,0,1080,2280,10,13,2,900,0,512,392,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,7,13,3,960,0,354,174,5 - (38.46)%,390 - (40.62)%
5,0,1800,2280,9,16,4,1170,0,599,494,0 - (0.00)%,0 - (0.00)%
6,0,1440,2280,3,6,0,360,0,429,384,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,8,11,6,960,0,660,645,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,12.88,2.75,918.75,0.0,532.0,432.62,5.5 - (36.88%),375.0 - (36.1%)
min,-,900,-,3,6,0,360,0,354,174,5 - (35.29%),360 - (31.58%)
25th percentile,-,1215.0,-,7.0,12.5,1.75,892.5,0.0,491.25,390.0,5.25 - (36.08%),367.5 - (33.84%)
75th percentile,-,1845.0,-,8.25,14.5,4.0,1027.5,0.0,594.5,499.0,5.75 - (37.67%),382.5 - (38.36%)
max,-,2160,-,10,17,6,1170,0,660,645,6 - (38.46%),390 - (40.62%)
total,-,12240,18240,60,103,22,7350,0,4256,3461,11,750
