operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,7,12,0,780,0,423,348,0 - (0.00)%,0 - (0.00)%
1,0,1620,2280,8,19,0,1200,0,432,192,0 - (0.00)%,0 - (0.00)%
2,0,1080,2280,6,12,2,810,0,456,396,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,8,19,1,1470,0,600,420,11 - (57.89)%,720 - (48.98)%
4,0,1800,2280,10,21,3,1350,0,480,240,0 - (0.00)%,0 - (0.00)%
5,0,1260,2280,7,16,2,1140,0,580,460,0 - (0.00)%,0 - (0.00)%
6,1,1980,2280,6,10,2,600,0,516,456,3 - (30.00)%,180 - (30.00)%
7,0,1440,2280,8,14,0,1020,0,432,312,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.38,1.25,1046.25,0.0,489.88,353.0,7.0 - (43.95%),450.0 - (39.49%)
min,-,900,-,6,10,0,600,0,423,192,3 - (30.00%),180 - (30.00%)
25th percentile,-,1215.0,-,6.75,12.0,0.0,802.5,0.0,432.0,294.0,5.0 - (36.97%),315.0 - (34.74%)
75th percentile,-,1845.0,-,8.0,19.0,2.0,1237.5,0.0,532.0,429.0,9.0 - (50.92%),585.0 - (44.24%)
max,-,2160,-,10,21,3,1470,0,600,460,11 - (57.89%),720 - (48.98%)
total,-,12240,18240,60,123,10,8370,0,3919,2824,14,900
