operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,10,19,2,1440,0,468,288,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,7,17,0,1110,210,570,420,0 - (0.00)%,0 - (0.00)%
2,0,1260,2280,4,5,0,300,0,185,140,0 - (0.00)%,0 - (0.00)%
3,1,1980,2280,6,12,1,1050,0,383,158,5 - (41.67)%,480 - (45.71)%
4,0,1080,2280,7,15,0,960,0,420,180,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,8,18,1,1320,0,565,370,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,10,17,2,1230,0,977,887,7 - (41.18)%,600 - (48.78)%
7,0,1620,2280,8,17,0,1290,0,656,536,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.0,0.75,1087.5,26.25,528.0,372.38,6.0 - (41.42%),540.0 - (47.24%)
min,-,900,-,4,5,0,300,0,185,140,5 - (41.18%),480 - (45.71%)
25th percentile,-,1215.0,-,6.75,14.25,0.0,1027.5,0.0,410.75,174.5,5.5 - (41.3%),510.0 - (46.48%)
75th percentile,-,1845.0,-,8.5,17.25,1.25,1297.5,0.0,591.5,449.0,6.5 - (41.55%),570.0 - (48.01%)
max,-,2160,-,10,19,2,1440,210,977,887,7 - (41.67%),600 - (48.78%)
total,-,12240,18240,60,120,6,8700,210,4224,2979,12,1080
