operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1080,2280,7,15,1,1140,60,453.42,378.42,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,7,16,0,1020,120,534.73,399.73,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,6,9,1,780,0,307.52,202.52,3 - (33.33)%,240 - (30.77)%
3,0,1440,2280,8,14,1,1020,0,388.46,298.46,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,5,10,0,840,0,376.66,301.66,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,6,16,0,1200,0,564.43,489.43,0 - (0.00)%,0 - (0.00)%
6,1,1980,2280,11,18,0,1140,0,654.4,564.4,8 - (44.44)%,480 - (42.11)%
7,0,1260,2280,10,17,2,1350,90,478.0,313.0,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.38,0.62,1061.25,33.75,469.7,368.45,5.5 - (38.88%),360.0 - (36.44%)
min,-,900,-,5,9,0,780,0,307.52,202.52,3 - (33.33%),240 - (30.77%)
25th percentile,-,1215.0,-,6.0,13.0,0.0,975.0,0.0,385.51,300.86,4.25 - (36.11%),300.0 - (33.6%)
75th percentile,-,1845.0,-,8.5,16.25,1.0,1155.0,67.5,542.16,422.16,6.75 - (41.66%),420.0 - (39.28%)
max,-,2160,-,11,18,2,1350,120,654.4,564.4,8 - (44.44%),480 - (42.11%)
total,-,12240,18240,60,115,5,8490,270,3757.62,2947.62,11,720
