operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1260,2280,7,14,0,1110,0,347,182,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,9,16,1,1080,0,570,450,0 - (0.00)%,0 - (0.00)%
2,0,1620,2280,4,5,2,300,0,399,384,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,6,10,2,780,0,294,204,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,8,22,2,1440,0,572,392,13 - (59.09)%,810 - (56.25)%
5,1,1980,2280,10,18,2,1320,0,460,250,6 - (33.33)%,450 - (34.09)%
6,0,1800,2280,10,13,3,960,0,372,252,0 - (0.00)%,0 - (0.00)%
7,0,1080,2280,6,13,3,900,0,435,300,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.88,1.88,986.25,0.0,431.12,301.75,9.5 - (46.21%),630.0 - (45.17%)
min,-,900,-,4,5,0,300,0,294,182,6 - (33.33%),450 - (34.09%)
25th percentile,-,1215.0,-,6.0,12.25,1.75,870.0,0.0,365.75,238.5,7.75 - (39.77%),540.0 - (39.63%)
75th percentile,-,1845.0,-,9.25,16.5,2.25,1162.5,0.0,487.5,386.0,11.25 - (52.65%),720.0 - (50.71%)
max,-,2160,-,10,22,3,1440,0,572,450,13 - (59.09%),810 - (56.25%)
total,-,12240,18240,60,111,15,7890,0,3449,2414,19,1260
