operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,5,8,0,720,0,349.8,334.8,0 - (0.00)%,0 - (0.00)%
1,0,1080,2280,10,21,0,1500,420,491.66,251.66,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,5,8,1,600,0,390.15,360.15,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,9,18,2,1110,0,554.9,389.9,8 - (44.44)%,510 - (45.95)%
4,0,1800,2280,8,18,0,1320,0,483.2,348.2,0 - (0.00)%,0 - (0.00)%
5,0,1440,2280,5,10,2,750,0,359.64,269.64,0 - (0.00)%,0 - (0.00)%
6,1,1980,2280,10,21,3,1350,0,584.74,494.74,13 - (61.90)%,810 - (60.00)%
7,0,1260,2280,8,17,0,1170,0,486.47,351.47,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.12,1.0,1065.0,52.5,462.57,350.07,10.5 - (53.17%),660.0 - (52.98%)
min,-,900,-,5,8,0,600,0,349.8,251.66,8 - (44.44%),510 - (45.95%)
25th percentile,-,1215.0,-,5.0,9.5,0.0,742.5,0.0,382.52,318.51,9.25 - (48.8%),585.0 - (49.46%)
75th percentile,-,1845.0,-,9.25,18.75,2.0,1327.5,0.0,507.47,367.59,11.75 - (57.54%),735.0 - (56.49%)
max,-,2160,-,10,21,3,1500,420,584.74,494.74,13 - (61.90%),810 - (60.00%)
total,-,12240,18240,60,121,8,8520,420,3700.56,2800.56,21,1320
