test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,15.0,0.75,1080.0,56.25,612.87,509.75,6.5 - (37.72%),480.0 - (40.02%),10893.35,0,2.74
1,mean,-,1530.0,2280.0,7.5,16.38,0.25,1121.25,48.75,487.44,356.19,4.5 - (30.8%),315.0 - (32.77%),6016.513,0,8.51
2,mean,-,1530.0,2280.0,7.5,14.62,1.25,1035.0,0.0,443.67,297.42,6.0 - (36.66%),435.0 - (38.07%),13807.41,0,4.06
3,mean,-,1530.0,2280.0,7.5,15.0,0.88,1076.25,3.75,597.69,470.19,8.0 - (48.53%),540.0 - (45.0%),11577.81,1.37102939e-06,3.05
4,mean,-,1530.0,2280.0,7.5,15.12,1.0,1065.0,3.75,484.94,325.57,11.5 - (59.53%),930.0 - (61.93%),12440.97,0,9.58
5,mean,-,1530.0,2280.0,7.5,14.62,0.5,1091.25,33.75,431.59,305.97,5.5 - (33.45%),390.0 - (33.34%),8095.875,0,3.49
6,mean,-,1530.0,2280.0,7.5,14.62,1.25,1050.0,0.0,643.95,531.45,8.0 - (41.31%),540.0 - (37.5%),15066.72,0,10.76
7,mean,-,1530.0,2280.0,7.5,15.25,1.0,1061.25,75.0,582.03,471.41,9.0 - (50.16%),720.0 - (56.03%),12735.51,0,3.04

0,total,-,12240,18240,60,120,6,8640,450,4902.99,4077.99,13,960,10893.35,0,2.74
1,total,-,12240,18240,60,131,2,8970,390,3899.49,2849.49,9,630,6016.513,0,8.51
2,total,-,12240,18240,60,117,10,8280,0,3549.3900000000003,2379.39,12,870,13807.41,0,4.06
3,total,-,12240,18240,60,120,7,8610,30,4781.5,3761.5,16,1080,11577.81,1.37102939e-06,3.05
4,total,-,12240,18240,60,121,8,8520,30,3879.54,2604.54,23,1860,12440.97,0,9.58
5,total,-,12240,18240,60,117,4,8730,270,3452.73,2447.73,11,780,8095.875,0,3.49
6,total,-,12240,18240,60,117,10,8400,0,5151.57,4251.57,16,1080,15066.72,0,10.76
7,total,-,12240,18240,60,122,8,8490,600,4656.25,3771.25,18,1440,12735.51,0,3.04
