operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,10,23,1,1380,0,818.82,638.82,10 - (43.48)%,600 - (43.48)%
1,1,2160,2280,7,13,0,780,0,537.61,432.61,6 - (46.15)%,360 - (46.15)%
2,0,1080,2280,4,6,0,420,0,311.67,281.67,0 - (0.00)%,0 - (0.00)%
3,0,1620,2280,8,16,0,1080,0,821.17,716.17,0 - (0.00)%,0 - (0.00)%
4,0,1260,2280,11,18,5,1260,0,496.18,391.18,0 - (0.00)%,0 - (0.00)%
5,0,1440,2280,8,15,4,1140,0,678.62,603.62,0 - (0.00)%,0 - (0.00)%
6,0,900,2280,3,6,0,540,0,120.0,0,0 - (0.00)%,0 - (0.00)%
7,0,1800,2280,9,23,3,1500,0,750.86,645.86,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.0,1.62,1012.5,0.0,566.87,463.74,8.0 - (44.81%),480.0 - (44.81%)
min,-,900,-,3,6,0,420,0,120.0,0.0,6 - (43.48%),360 - (43.48%)
25th percentile,-,1215.0,-,6.25,11.25,0.0,720.0,0.0,450.05,363.8,7.0 - (44.15%),420.0 - (44.15%)
75th percentile,-,1845.0,-,9.25,19.25,3.25,1290.0,0.0,767.85,640.58,9.0 - (45.48%),540.0 - (45.48%)
max,-,2160,-,11,23,5,1500,0,821.17,716.17,10 - (46.15%),600 - (46.15%)
total,-,12240,18240,60,120,13,8100,0,4534.93,3709.93,16,960
