operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,9,19,5,1290,0,637,502,10 - (52.63)%,690 - (53.49)%
1,0,1620,2280,5,9,1,690,0,412,367,0 - (0.00)%,0 - (0.00)%
2,0,1260,2280,12,20,4,1320,60,644,539,0 - (0.00)%,0 - (0.00)%
3,0,1440,2280,9,16,3,960,0,485,350,0 - (0.00)%,0 - (0.00)%
4,0,900,2280,2,3,0,300,0,155,140,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,10,20,2,1320,0,757,667,0 - (0.00)%,0 - (0.00)%
6,0,1080,2280,5,7,0,600,0,224,149,0 - (0.00)%,0 - (0.00)%
7,1,2160,2280,8,17,0,1290,0,658,568,5 - (29.41)%,300 - (23.26)%

mean,-,1530.0,2280.0,7.5,13.88,1.88,971.25,7.5,496.5,410.25,7.5 - (41.02%),495.0 - (38.38%)
min,-,900,-,2,3,0,300,0,155,140,5 - (29.41%),300 - (23.26%)
25th percentile,-,1215.0,-,5.0,8.5,0.0,667.5,0.0,365.0,299.75,6.25 - (35.22%),397.5 - (30.82%)
75th percentile,-,1845.0,-,9.25,19.25,3.25,1297.5,0.0,647.5,546.25,8.75 - (46.82%),592.5 - (45.93%)
max,-,2160,-,12,20,5,1320,60,757,667,10 - (52.63%),690 - (53.49%)
total,-,12240,18240,60,111,15,7770,60,3972,3282,15,990
