operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2160,2280,10,15,4,1110,0,562,397,11 - (73.33)%,810 - (72.97)%
1,0,1620,2280,5,7,2,420,0,353,338,0 - (0.00)%,0 - (0.00)%
2,0,1800,2280,7,14,1,1080,0,390,240,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,7,15,1,1170,270,434,254,0 - (0.00)%,0 - (0.00)%
4,0,1260,2280,7,15,0,1200,0,412,292,0 - (0.00)%,0 - (0.00)%
5,1,1980,2280,9,16,2,1260,0,677,542,7 - (43.75)%,540 - (42.86)%
6,0,1080,2280,6,10,0,780,0,381,306,0 - (0.00)%,0 - (0.00)%
7,0,1440,2280,9,19,2,1140,0,601,466,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.88,1.5,1020.0,33.75,476.25,354.38,9.0 - (58.54%),675.0 - (57.92%)
min,-,900,-,5,7,0,420,0,353,240,7 - (43.75%),540 - (42.86%)
25th percentile,-,1215.0,-,6.75,13.0,0.75,1005.0,0.0,387.75,282.5,8.0 - (51.14%),607.5 - (50.39%)
75th percentile,-,1845.0,-,9.0,15.25,2.0,1177.5,0.0,571.75,414.25,10.0 - (65.94%),742.5 - (65.44%)
max,-,2160,-,10,19,4,1260,270,677,542,11 - (73.33%),810 - (72.97%)
total,-,12240,18240,60,111,12,8160,270,3810,2835,18,1350
