operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1560,2280,9,13,2,900,0,766.11,736.11,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,6,18,0,1320,420,818.32,818.32,0 - (0.00)%,0 - (0.00)%
2,1,1860,2280,7,15,0,1230,0,662.64,572.64,4 - (26.67)%,360 - (29.27)%
3,1,2160,2280,6,17,0,1080,0,722.51,617.51,6 - (35.29)%,360 - (33.33)%
4,0,1620,2280,9,19,0,1290,0,564.82,354.82,0 - (0.00)%,0 - (0.00)%
5,1,2040,2280,9,19,1,1320,0,1050.97,1005.97,8 - (42.11)%,480 - (36.36)%
6,0,1020,2280,6,14,0,1050,30,842.59,797.59,0 - (0.00)%,0 - (0.00)%
7,0,1320,2280,2,4,0,300,0,371.53,371.53,0 - (0.00)%,0 - (0.00)%
8,0,1380,2280,7,15,0,1080,0,458.34,248.34,0 - (0.00)%,0 - (0.00)%
9,0,1740,2280,9,16,2,1200,0,833.01,803.01,0 - (0.00)%,0 - (0.00)%
10,0,960,2280,8,18,0,1080,120,740.31,695.31,0 - (0.00)%,0 - (0.00)%
11,1,1980,2280,9,16,3,1020,0,1169.41,1154.41,9 - (56.25)%,540 - (52.94)%
12,0,1200,2280,7,18,0,1140,0,795.93,735.93,0 - (0.00)%,0 - (0.00)%
13,0,1800,2280,6,13,0,780,0,708.66,618.66,0 - (0.00)%,0 - (0.00)%
14,0,1140,2280,11,21,0,1470,330,826.02,661.02,0 - (0.00)%,0 - (0.00)%
15,0,1440,2280,9,21,0,1410,0,589.77,379.77,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,16.06,0.5,1104.38,56.25,745.06,660.68,6.75 - (40.08%),435.0 - (37.97%)
min,-,900,-,2,4,0,300,0,371.53,248.34,4 - (26.67%),360 - (29.27%)
25th percentile,-,1185.0,-,6.0,14.75,0.0,1042.5,0.0,644.42,524.42,5.5 - (33.14%),360.0 - (32.32%)
75th percentile,-,1815.0,-,9.0,18.25,0.25,1297.5,7.5,827.77,798.94,8.25 - (45.64%),495.0 - (40.5%)
max,-,2160,-,11,21,3,1470,420,1169.41,1154.41,9 - (56.25%),540 - (52.94%)
total,-,24120,36480,120,257,8,17670,900,11920.939999999999,10570.939999999999,27,1740
