operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,9,18,0,1290,0,509.06,314.06,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,6,16,0,1020,120,683.49,563.49,0 - (0.00)%,0 - (0.00)%
2,0,1080,2280,6,15,0,1050,0,635.52,485.52,0 - (0.00)%,0 - (0.00)%
3,0,1440,2280,13,20,5,1320,0,506.79,251.79,0 - (0.00)%,0 - (0.00)%
4,0,1260,2280,6,13,2,1080,0,429.41,369.41,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,8,15,2,960,0,465.02,360.02,5 - (33.33)%,360 - (37.50)%
6,0,1800,2280,5,11,0,810,0,285.87,180.87,0 - (0.00)%,0 - (0.00)%
7,1,1980,2280,7,12,1,840,0,444.62,294.62,4 - (33.33)%,300 - (35.71)%

mean,-,1530.0,2280.0,7.5,15.0,1.25,1046.25,15.0,494.97,352.47,4.5 - (33.33%),330.0 - (36.61%)
min,-,900,-,5,11,0,810,0,285.87,180.87,4 - (33.33%),300 - (35.71%)
25th percentile,-,1215.0,-,6.0,12.75,0.0,930.0,0.0,440.82,283.91,4.25 - (33.33%),315.0 - (36.16%)
75th percentile,-,1845.0,-,8.25,16.5,2.0,1132.5,0.0,540.67,398.44,4.75 - (33.33%),345.0 - (37.05%)
max,-,2160,-,13,20,5,1320,120,683.49,563.49,5 - (33.33%),360 - (37.50%)
total,-,12240,18240,60,120,10,8370,120,3959.7799999999997,2819.7799999999997,9,660
