operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2040,2280,6,15,1,900,0,588.11,513.11,2 - (13.33)%,120 - (13.33)%
1,1,2160,2280,9,17,3,1170,0,933.01,813.01,6 - (35.29)%,420 - (35.90)%
2,0,1740,2280,9,14,7,870,0,659.72,584.72,0 - (0.00)%,0 - (0.00)%
3,1,1860,2280,8,16,1,1170,0,1097.07,1067.07,2 - (12.50)%,240 - (20.51)%
4,0,1020,2280,11,23,1,1530,510,840.11,675.11,0 - (0.00)%,0 - (0.00)%
5,0,1620,2280,7,12,0,810,0,613.5,583.5,0 - (0.00)%,0 - (0.00)%
6,0,1800,2280,8,16,0,1050,0,867.98,837.98,0 - (0.00)%,0 - (0.00)%
7,0,1200,2280,12,21,2,1500,300,859.34,754.34,0 - (0.00)%,0 - (0.00)%
8,0,1320,2280,6,11,0,930,0,635.85,620.85,0 - (0.00)%,0 - (0.00)%
9,0,1440,2280,4,8,0,900,0,577.05,532.05,0 - (0.00)%,0 - (0.00)%
10,1,1980,2280,3,11,0,750,0,901.96,856.96,7 - (63.64)%,510 - (68.00)%
11,0,1380,2280,8,15,5,1140,0,779.67,734.67,0 - (0.00)%,0 - (0.00)%
12,0,1560,2280,4,10,0,720,0,457.38,412.38,0 - (0.00)%,0 - (0.00)%
13,0,1140,2280,12,17,7,1290,150,642.69,522.69,0 - (0.00)%,0 - (0.00)%
14,0,900,2280,8,10,3,690,0,456.22,381.22,0 - (0.00)%,0 - (0.00)%
15,0,960,2280,5,10,0,810,0,715.44,685.44,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,14.12,1.88,1014.38,60.0,726.57,660.94,4.25 - (31.19%),322.5 - (34.44%)
min,-,900,-,3,8,0,690,0,456.22,381.22,2 - (12.50%),120 - (13.33%)
25th percentile,-,1185.0,-,5.75,10.75,0.0,810.0,0.0,607.15,529.71,2.0 - (13.12%),210.0 - (18.72%)
75th percentile,-,1815.0,-,9.0,16.25,3.0,1170.0,0.0,861.5,769.01,6.25 - (42.38%),442.5 - (43.92%)
max,-,2160,-,12,23,7,1530,510,1097.07,1067.07,7 - (63.64%),510 - (68.00%)
total,-,24120,36480,120,226,30,16230,960,11625.100000000002,10575.100000000002,17,1290
