test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,15.56,0.44,1104.38,22.5,766.05,657.3,9.75 - (51.61%),697.5 - (51.53%),16972.92,9.9801e-05,2382.5
1,mean,-,1507.5,2280.0,7.5,15.19,0.56,1096.88,41.25,592.35,491.1,7.0 - (41.47%),532.5 - (41.33%),17959.64,9.876e-05,10189.64
2,mean,-,1507.5,2280.0,7.5,15.75,0.06,1138.12,35.62,743.85,668.85,8.0 - (46.24%),592.5 - (44.75%),11742.78,9.9905e-05,8144.62
3,mean,-,1507.5,2280.0,7.5,16.06,0.12,1126.88,69.38,713.98,616.48,9.0 - (54.16%),570.0 - (53.28%),12101.52,9.9815e-05,9858.58
4,mean,-,1507.5,2280.0,7.5,16.06,0.5,1104.38,56.25,745.06,660.68,6.75 - (40.08%),435.0 - (37.97%),18655.54,0.008340438,12666.28

0,total,-,24120,36480,120,249,7,17670,360,12256.81,10516.810000000001,39,2790,16972.92,9.9801e-05,2382.5
1,total,-,24120,36480,120,243,9,17550,660,9477.56,7857.5599999999995,28,2130,17959.64,9.876e-05,10189.64
2,total,-,24120,36480,120,252,1,18210,570,11901.630000000001,10701.630000000001,32,2370,11742.78,9.9905e-05,8144.62
3,total,-,24120,36480,120,257,2,18030,1110,11423.73,9863.73,36,2280,12101.52,9.9815e-05,9858.58
4,total,-,24120,36480,120,257,8,17670,900,11920.939999999999,10570.939999999999,27,1740,18655.54,0.008340438,12666.28
