test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,13.5,2.75,941.25,48.75,560.01,464.38,4.0 - (25.0%),240.0 - (22.22%),26245.59,0,2.2
1,mean,-,1530.0,2280.0,7.5,14.5,1.0,1057.5,22.5,456.53,362.78,7.5 - (46.88%),525.0 - (47.08%),12389.09,0,2.39
2,mean,-,1530.0,2280.0,7.5,13.5,2.0,986.25,45.0,449.55,329.55,12.0 - (69.79%),945.0 - (70.61%),20163.53,0,2.16
3,mean,-,1530.0,2280.0,7.5,14.12,2.25,990.0,45.0,540.83,426.45,10.0 - (49.88%),690.0 - (52.2%),22252.25,0,2.32
4,mean,-,1530.0,2280.0,7.5,14.75,1.75,1020.0,0.0,482.71,383.34,6.0 - (36.58%),465.0 - (38.52%),17797.98,0,2.4
5,mean,-,1530.0,2280.0,7.5,13.62,2.38,945.0,15.0,685.13,600.76,7.5 - (48.43%),510.0 - (48.17%),23499.76,0,2.19
6,mean,-,1530.0,2280.0,7.5,15.0,1.62,1012.5,0.0,566.87,463.74,8.0 - (44.81%),480.0 - (44.81%),17559.25,0,3.04
7,mean,-,1530.0,2280.0,7.5,15.0,1.88,1008.75,3.75,547.77,467.15,10.5 - (62.16%),660.0 - (62.28%),19529.46,0,2.0

0,total,-,12240,18240,60,108,22,7530,390,4480.07,3715.07,8,480,26245.59,0,2.2
1,total,-,12240,18240,60,116,8,8460,180,3652.2500000000005,2902.25,15,1050,12389.09,0,2.39
2,total,-,12240,18240,60,108,16,7890,360,3596.41,2636.41,24,1890,20163.53,0,2.16
3,total,-,12240,18240,60,113,18,7920,360,4326.639999999999,3411.6399999999994,20,1380,22252.25,0,2.32
4,total,-,12240,18240,60,118,14,8160,0,3861.71,3066.71,12,930,17797.98,0,2.4
5,total,-,12240,18240,60,109,19,7560,120,5481.0599999999995,4806.0599999999995,15,1020,23499.76,0,2.19
6,total,-,12240,18240,60,120,13,8100,0,4534.93,3709.93,16,960,17559.25,0,3.04
7,total,-,12240,18240,60,120,15,8070,30,4382.18,3737.1800000000003,21,1320,19529.46,0,2.0
