test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,14.94,0.56,1104.38,45.0,827.45,761.82,8.75 - (50.87%),660.0 - (50.46%),20469.29,0.156455538,14099.28
1,mean,-,1507.5,2280.0,7.5,15.81,0.5,1093.12,43.12,722.67,640.17,6.5 - (41.39%),480.0 - (44.34%),18072.72,0.069062867,13556.01
2,mean,-,1507.5,2280.0,7.5,15.44,0.5,1100.62,31.88,676.42,583.6,10.5 - (51.94%),735.0 - (52.35%),18971.72,0.034302894,12715.04
3,mean,-,1507.5,2280.0,7.5,14.94,0.81,1074.38,52.5,728.12,631.56,8.75 - (49.13%),630.0 - (49.17%),23586.07,9.5146e-05,6592.67
4,mean,-,1507.5,2280.0,7.5,15.81,0.12,1140.0,26.25,722.68,650.49,7.5 - (42.67%),540.0 - (42.22%),12240.61,0.074506842,16069.94

0,total,-,24120,36480,120,239,9,17670,720,13239.14,12189.14,35,2640,20469.29,0.156455538,14099.28
1,total,-,24120,36480,120,253,8,17490,690,11562.779999999999,10242.779999999999,26,1920,18072.72,0.069062867,13556.01
2,total,-,24120,36480,120,247,8,17610,510,10822.669999999998,9337.669999999998,42,2940,18971.72,0.034302894,12715.04
3,total,-,24120,36480,120,239,13,17190,840,11649.93,10104.93,35,2520,23586.07,9.5146e-05,6592.67
4,total,-,24120,36480,120,253,2,18240,420,11562.869999999999,10407.869999999999,30,2160,12240.61,0.074506842,16069.94
