operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,6,15,0,1050,0,1154.06,1124.06,8 - (53.33)%,540 - (51.43)%
1,1,2160,2280,11,19,2,1350,0,630.27,555.27,6 - (31.58)%,420 - (31.11)%
2,0,1440,2280,10,15,6,1080,0,668.93,593.93,0 - (0.00)%,0 - (0.00)%
3,0,1800,2280,5,10,0,720,0,749.42,644.42,0 - (0.00)%,0 - (0.00)%
4,1,1860,2280,6,14,0,1020,0,927.19,867.19,3 - (21.43)%,270 - (26.47)%
5,0,1140,2280,12,17,5,1320,180,778.0,688.0,0 - (0.00)%,0 - (0.00)%
6,0,1560,2280,7,12,1,930,0,854.02,794.02,0 - (0.00)%,0 - (0.00)%
7,0,960,2280,11,18,6,1260,300,935.89,845.89,0 - (0.00)%,0 - (0.00)%
8,0,900,2280,6,9,3,600,0,622.98,577.98,0 - (0.00)%,0 - (0.00)%
9,0,1200,2280,4,7,0,420,0,505.06,505.06,0 - (0.00)%,0 - (0.00)%
10,0,1740,2280,4,6,0,480,0,280.43,250.43,0 - (0.00)%,0 - (0.00)%
11,0,1380,2280,10,19,1,1140,0,1014.74,969.74,0 - (0.00)%,0 - (0.00)%
12,0,1620,2280,9,20,1,1320,0,964.85,799.85,0 - (0.00)%,0 - (0.00)%
13,0,1020,2280,6,12,1,1110,90,1155.74,1140.74,0 - (0.00)%,0 - (0.00)%
14,1,2040,2280,5,13,0,960,0,1009.49,979.49,8 - (61.54)%,660 - (68.75)%
15,0,1320,2280,8,16,3,1170,0,511.12,406.12,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,13.88,1.81,995.62,35.62,797.64,733.89,6.25 - (41.97%),472.5 - (44.44%)
min,-,900,-,4,6,0,420,0,280.43,250.43,3 - (21.43%),270 - (26.47%)
25th percentile,-,1185.0,-,5.75,11.5,0.0,877.5,0.0,628.45,572.3,5.25 - (29.04%),382.5 - (29.95%)
75th percentile,-,1815.0,-,10.0,17.25,3.0,1192.5,0.0,976.01,892.83,8.0 - (55.38%),570.0 - (55.76%)
max,-,2160,-,12,20,6,1350,300,1155.74,1140.74,8 - (61.54%),660 - (68.75%)
total,-,24120,36480,120,222,29,15930,570,12762.189999999999,11742.189999999999,25,1890
