operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1080,2280,4,8,0,660,0,658.14,568.14,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,6,14,2,990,0,718.6,598.6,0 - (0.00)%,0 - (0.00)%
2,0,1800,2280,7,14,4,870,0,612.26,477.26,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,11,15,8,1110,0,581.13,446.13,6 - (40.00)%,540 - (48.65)%
4,0,900,2280,6,11,0,750,0,531.23,471.23,0 - (0.00)%,0 - (0.00)%
5,0,1620,2280,7,14,0,1050,0,302.96,62.96,0 - (0.00)%,0 - (0.00)%
6,0,1260,2280,11,20,4,1320,60,720.38,570.38,0 - (0.00)%,0 - (0.00)%
7,1,1980,2280,8,13,3,900,0,813.78,723.78,9 - (69.23)%,600 - (66.67)%

mean,-,1530.0,2280.0,7.5,13.62,2.62,956.25,7.5,617.31,489.81,7.5 - (54.62%),570.0 - (57.66%)
min,-,900,-,4,8,0,660,0,302.96,62.96,6 - (40.00%),540 - (48.65%)
25th percentile,-,1215.0,-,6.0,12.5,0.0,840.0,0.0,568.66,464.96,6.75 - (47.31%),555.0 - (53.16%)
75th percentile,-,1845.0,-,8.75,14.25,4.0,1065.0,0.0,719.04,577.43,8.25 - (61.92%),585.0 - (62.16%)
max,-,2160,-,11,20,8,1320,60,813.78,723.78,9 - (69.23%),600 - (66.67%)
total,-,12240,18240,60,109,21,7650,60,4938.48,3918.48,15,1140
