operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,7,13,0,900,0,536.01,416.01,0 - (0.00)%,0 - (0.00)%
1,0,1560,2280,9,16,0,1080,0,928.27,838.27,0 - (0.00)%,0 - (0.00)%
2,0,1380,2280,10,17,2,1350,0,822.34,732.34,0 - (0.00)%,0 - (0.00)%
3,1,1980,2280,12,17,5,1140,0,780.56,675.56,8 - (47.06)%,600 - (52.63)%
4,1,2160,2280,9,15,5,1080,0,1106.02,1076.02,6 - (40.00)%,480 - (44.44)%
5,0,1140,2280,5,13,0,900,0,681.13,531.13,0 - (0.00)%,0 - (0.00)%
6,0,1800,2280,7,13,0,1080,0,488.16,413.16,0 - (0.00)%,0 - (0.00)%
7,0,1320,2280,8,18,0,1200,0,969.58,909.58,0 - (0.00)%,0 - (0.00)%
8,0,1020,2280,7,15,1,1050,30,1031.52,941.52,0 - (0.00)%,0 - (0.00)%
9,0,1740,2280,10,19,0,1290,0,840.32,765.32,0 - (0.00)%,0 - (0.00)%
10,0,1620,2280,4,8,0,630,0,601.08,601.08,0 - (0.00)%,0 - (0.00)%
11,0,900,2280,7,16,0,1200,300,964.02,904.02,0 - (0.00)%,0 - (0.00)%
12,0,960,2280,6,9,0,720,0,718.5,688.5,0 - (0.00)%,0 - (0.00)%
13,1,2040,2280,6,15,0,1020,0,747.5,672.5,7 - (46.67)%,540 - (52.94)%
14,0,1200,2280,7,17,1,1290,90,1143.45,1113.45,0 - (0.00)%,0 - (0.00)%
15,1,1860,2280,6,18,0,1170,0,1218.88,1173.88,4 - (22.22)%,240 - (20.51)%

mean,-,1507.5,2280.0,7.5,14.94,0.88,1068.75,26.25,848.58,778.27,6.25 - (38.99%),465.0 - (42.63%)
min,-,900,-,4,8,0,630,0,488.16,413.16,4 - (22.22%),240 - (20.51%)
25th percentile,-,1185.0,-,6.0,13.0,0.0,990.0,0.0,709.16,654.64,5.5 - (35.56%),420.0 - (38.46%)
75th percentile,-,1815.0,-,9.0,17.0,1.0,1200.0,0.0,985.06,917.56,7.25 - (46.77%),555.0 - (52.71%)
max,-,2160,-,12,19,5,1350,300,1218.88,1173.88,8 - (47.06%),600 - (52.94%)
total,-,24120,36480,120,239,14,17100,420,13577.34,12452.34,25,1860
