operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,9,12,3,780,0,406,376,0 - (0.00)%,0 - (0.00)%
1,0,1800,2280,5,9,2,660,0,487,442,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,5,8,0,660,0,308,188,0 - (0.00)%,0 - (0.00)%
3,1,1980,2280,8,14,2,1170,0,571,511,7 - (50.00)%,570 - (48.72)%
4,0,1080,2280,6,14,1,1140,60,587,527,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,10,21,3,1440,0,542,332,10 - (47.62)%,630 - (43.75)%
6,0,1260,2280,9,14,1,990,0,509,374,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,8,17,0,1350,0,422,242,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.62,1.5,1023.75,7.5,479.0,374.0,8.5 - (48.81%),600.0 - (46.24%)
min,-,900,-,5,8,0,660,0,308,188,7 - (47.62%),570 - (43.75%)
25th percentile,-,1215.0,-,5.75,11.25,0.75,750.0,0.0,418.0,309.5,7.75 - (48.22%),585.0 - (44.99%)
75th percentile,-,1845.0,-,9.0,14.75,2.25,1215.0,0.0,549.25,459.25,9.25 - (49.4%),615.0 - (47.48%)
max,-,2160,-,10,21,3,1440,60,587,527,10 - (50.00%),630 - (48.72%)
total,-,12240,18240,60,109,12,8190,60,3832,2992,17,1200
