test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,15.19,0.44,1119.38,46.88,686.07,610.13,5.25 - (30.52%),442.5 - (33.38%),17196.7,5.9696e-05,8026.28
1,mean,-,1507.5,2280.0,7.5,14.62,1.5,1033.12,33.75,897.04,829.54,7.0 - (44.46%),495.0 - (44.54%),35293.48,8.9365e-05,223.9
2,mean,-,1507.5,2280.0,7.5,14.62,1.31,1038.75,9.38,749.86,672.05,7.0 - (42.31%),472.5 - (42.86%),30819.22,9.9867e-05,2798.58
3,mean,-,1507.5,2280.0,7.5,15.12,0.94,1059.38,56.25,773.56,718.25,9.5 - (54.33%),660.0 - (56.28%),26414.93,8.8828e-05,688.53
4,mean,-,1507.5,2280.0,7.5,15.62,0.56,1096.88,54.38,751.06,662.93,9.25 - (51.84%),645.0 - (50.89%),20035.47,9.832e-05,2519.47

0,total,-,24120,36480,120,243,7,17910,750,10977.06,9762.06,21,1770,17196.7,5.9696e-05,8026.28
1,total,-,24120,36480,120,234,24,16530,540,14352.630000000001,13272.630000000001,28,1980,35293.48,8.9365e-05,223.9
2,total,-,24120,36480,120,234,21,16620,150,11997.84,10752.84,28,1890,30819.22,9.9867e-05,2798.58
3,total,-,24120,36480,120,242,15,16950,900,12376.93,11491.93,38,2640,26414.93,8.8828e-05,688.53
4,total,-,24120,36480,120,250,9,17550,870,12016.91,10606.91,37,2580,20035.47,9.832e-05,2519.47
