operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,9,18,1,1290,390,921.57,801.57,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,2,4,0,420,0,361.21,361.21,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,7,14,3,990,0,654.11,564.11,6 - (42.86)%,360 - (36.36)%
3,0,1080,2280,11,15,3,1020,0,618.7,513.7,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,8,18,1,1200,0,789.14,699.14,0 - (0.00)%,0 - (0.00)%
5,1,1980,2280,9,18,1,1350,0,507.34,252.34,10 - (55.56)%,720 - (53.33)%
6,0,1800,2280,5,12,0,720,0,494.03,419.03,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,9,18,1,1200,0,802.49,652.49,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.62,1.25,1023.75,48.75,643.57,532.95,8.0 - (49.21%),540.0 - (44.84%)
min,-,900,-,2,4,0,420,0,361.21,252.34,6 - (42.86%),360 - (36.36%)
25th percentile,-,1215.0,-,6.5,13.5,0.75,922.5,0.0,504.01,404.58,7.0 - (46.04%),450.0 - (40.6%)
75th percentile,-,1845.0,-,9.0,18.0,1.5,1222.5,0.0,792.48,664.15,9.0 - (52.39%),630.0 - (49.09%)
max,-,2160,-,11,18,3,1350,390,921.57,801.57,10 - (55.56%),720 - (53.33%)
total,-,12240,18240,60,117,10,8190,390,5148.59,4263.59,16,1080
