test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,14.38,1.25,1061.25,30.0,537.5,423.12,8.0 - (46.88%),555.0 - (46.19%),13946.44,0,2.64
1,mean,-,1530.0,2280.0,7.5,14.38,1.25,1035.0,15.0,486.12,360.5,9.5 - (49.61%),630.0 - (43.87%),13940.72,0,2.83
2,mean,-,1530.0,2280.0,7.5,14.88,1.0,1053.75,22.5,521.12,418.0,7.0 - (36.39%),525.0 - (38.94%),11844.58,0,2.71
3,mean,-,1530.0,2280.0,7.5,14.12,1.75,1012.5,15.0,611.25,502.5,10.0 - (52.83%),735.0 - (54.42%),17991.72,0,2.29
4,mean,-,1530.0,2280.0,7.5,14.5,1.38,1027.5,0.0,401.5,257.12,10.5 - (51.66%),750.0 - (52.88%),14836,0,2.68
5,mean,-,1530.0,2280.0,7.5,15.25,0.75,1080.0,30.0,461.88,319.38,9.0 - (54.59%),600.0 - (53.22%),9847.44,0,2.88
6,mean,-,1530.0,2280.0,7.5,15.12,1.62,1031.25,45.0,560.88,461.5,9.5 - (49.72%),615.0 - (51.25%),17281.16,0,1.94
7,mean,-,1530.0,2280.0,7.5,13.5,1.25,1020.0,0.0,491.25,408.75,7.0 - (42.44%),465.0 - (37.52%),13822,0,2.54
8,mean,-,1530.0,2280.0,7.5,15.25,1.75,1035.0,0.0,482.38,334.25,11.5 - (51.66%),720.0 - (50.5%),17848,0,2.72
9,mean,-,1530.0,2280.0,7.5,15.0,0.88,1080.0,78.75,574.88,460.5,6.5 - (36.77%),420.0 - (34.62%),11472.03,0,2.51

0,total,-,12240,18240,60,115,10,8490,240,4300,3385,16,1110,13946.44,0,2.64
1,total,-,12240,18240,60,115,10,8280,120,3889,2884,19,1260,13940.72,0,2.83
2,total,-,12240,18240,60,119,8,8430,180,4169,3344,14,1050,11844.58,0,2.71
3,total,-,12240,18240,60,113,14,8100,120,4890,4020,20,1470,17991.72,0,2.29
4,total,-,12240,18240,60,116,11,8220,0,3212,2057,21,1500,14836,0,2.68
5,total,-,12240,18240,60,122,6,8640,240,3695,2555,18,1200,9847.44,0,2.88
6,total,-,12240,18240,60,121,13,8250,360,4487,3692,19,1230,17281.16,0,1.94
7,total,-,12240,18240,60,108,10,8160,0,3930,3270,14,930,13822,0,2.54
8,total,-,12240,18240,60,122,14,8280,0,3859,2674,23,1440,17848,0,2.72
9,total,-,12240,18240,60,120,7,8640,630,4599,3684,13,840,11472.03,0,2.51
