operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,5,7,0,540,0,267,222,0 - (0.00)%,0 - (0.00)%
1,0,1260,2280,12,18,7,1290,30,620,500,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,7,14,3,840,0,612,522,0 - (0.00)%,0 - (0.00)%
3,0,1440,2280,10,20,0,1200,0,731,641,0 - (0.00)%,0 - (0.00)%
4,0,1080,2280,4,9,0,840,0,360,300,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,7,18,2,1170,0,679,604,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,9,14,2,1050,0,561,396,6 - (42.86)%,480 - (45.71)%
7,1,1980,2280,6,12,1,1020,0,737,707,4 - (33.33)%,420 - (41.18)%

mean,-,1530.0,2280.0,7.5,14.0,1.88,993.75,3.75,570.88,486.5,5.0 - (38.09%),450.0 - (43.44%)
min,-,900,-,4,7,0,540,0,267,222,4 - (33.33%),420 - (41.18%)
25th percentile,-,1215.0,-,5.75,11.25,0.0,840.0,0.0,510.75,372.0,4.5 - (35.71%),435.0 - (42.31%)
75th percentile,-,1845.0,-,9.25,18.0,2.25,1177.5,0.0,692.0,613.25,5.5 - (40.48%),465.0 - (44.58%)
max,-,2160,-,12,20,7,1290,30,737,707,6 - (42.86%),480 - (45.71%)
total,-,12240,18240,60,112,15,7950,30,4567,3892,10,900
