operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,6,13,0,780,0,460,340,0 - (0.00)%,0 - (0.00)%
1,0,1620,2280,9,17,1,1290,0,345,120,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,10,15,2,1200,0,764,674,7 - (46.67)%,570 - (47.50)%
3,1,1980,2280,8,13,2,870,0,728,638,5 - (38.46)%,300 - (34.48)%
4,0,1440,2280,7,14,0,1020,0,710,620,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,8,17,4,1200,0,520,340,0 - (0.00)%,0 - (0.00)%
6,0,1260,2280,5,11,0,720,0,304,214,0 - (0.00)%,0 - (0.00)%
7,0,1080,2280,7,18,0,1260,180,385,160,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.75,1.12,1042.5,22.5,527.0,388.25,6.0 - (42.56%),435.0 - (40.99%)
min,-,900,-,5,11,0,720,0,304,120,5 - (38.46%),300 - (34.48%)
25th percentile,-,1215.0,-,6.75,13.0,0.0,847.5,0.0,375.0,200.5,5.5 - (40.51%),367.5 - (37.74%)
75th percentile,-,1845.0,-,8.25,17.0,2.0,1215.0,0.0,714.5,624.5,6.5 - (44.62%),502.5 - (44.24%)
max,-,2160,-,10,18,4,1290,180,764,674,7 - (46.67%),570 - (47.50%)
total,-,12240,18240,60,118,9,8340,180,4216,3106,12,870
