operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,960,2280,7,15,0,1110,150,813.04,738.04,0 - (0.00)%,0 - (0.00)%
1,1,1980,2280,7,15,1,900,0,372.75,237.75,11 - (73.33)%,660 - (73.33)%
2,0,1020,2280,7,17,0,1200,180,559.09,469.09,0 - (0.00)%,0 - (0.00)%
3,0,1320,2280,7,14,0,1110,0,711.49,666.49,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,6,14,0,930,0,653.22,593.22,0 - (0.00)%,0 - (0.00)%
5,0,1440,2280,7,16,0,960,0,521.96,356.96,0 - (0.00)%,0 - (0.00)%
6,0,1740,2280,7,10,0,660,0,470.11,425.11,0 - (0.00)%,0 - (0.00)%
7,0,900,2280,10,26,0,1680,780,1015.02,865.02,0 - (0.00)%,0 - (0.00)%
8,1,1860,2280,11,20,0,1380,0,1011.47,951.47,8 - (40.00)%,480 - (34.78)%
9,0,1200,2280,6,14,0,1050,0,908.01,863.01,0 - (0.00)%,0 - (0.00)%
10,0,1140,2280,5,8,0,780,0,336.63,321.63,0 - (0.00)%,0 - (0.00)%
11,0,1560,2280,6,17,0,1200,0,525.37,345.37,0 - (0.00)%,0 - (0.00)%
12,1,2160,2280,6,16,0,960,0,1011.27,906.27,9 - (56.25)%,540 - (56.25)%
13,1,2040,2280,9,17,0,1230,0,618.76,483.76,8 - (47.06)%,600 - (48.78)%
14,0,1380,2280,8,17,0,1380,0,1023.21,903.21,0 - (0.00)%,0 - (0.00)%
15,0,1800,2280,11,21,1,1500,0,872.33,737.33,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,16.06,0.12,1126.88,69.38,713.98,616.48,9.0 - (54.16%),570.0 - (53.28%)
min,-,900,-,5,8,0,660,0,336.63,237.75,8 - (40.00%),480 - (34.78%)
25th percentile,-,1185.0,-,6.0,14.0,0.0,952.5,0.0,524.52,408.07,8.0 - (45.3%),525.0 - (45.28%)
75th percentile,-,1815.0,-,8.25,17.0,0.0,1267.5,0.0,933.82,863.51,9.5 - (60.52%),615.0 - (60.52%)
max,-,2160,-,11,26,1,1680,780,1023.21,951.47,11 - (73.33%),660 - (73.33%)
total,-,24120,36480,120,257,2,18030,1110,11423.73,9863.73,36,2280
