test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,10.94,4.44,781.88,3.75,744.11,709.42,5.0 - (42.58%),420.0 - (47.42%),78652.82,0,18.47
1,mean,-,1507.5,2280.0,7.5,12.0,3.75,849.38,15.0,784.87,740.8,5.0 - (33.63%),315.0 - (29.89%),69574.85,0,17.18
2,mean,-,1507.5,2280.0,7.5,11.81,4.06,851.25,0.0,800.74,762.31,3.75 - (31.34%),270.0 - (32.11%),74329.01,0,16.93
3,mean,-,1507.5,2280.0,7.5,12.25,4.19,841.88,31.88,694.65,656.21,4.0 - (23.99%),270.0 - (25.02%),75883.5,0,19.2
4,mean,-,1507.5,2280.0,7.5,12.12,3.88,856.88,7.5,674.34,634.96,4.25 - (33.01%),315.0 - (34.29%),70439.95,0,17.65

0,total,-,24120,36480,120,175,71,12510,60,11905.779999999999,11350.779999999999,20,1680,78652.82,0,18.47
1,total,-,24120,36480,120,192,60,13590,240,12557.87,11852.869999999999,20,1260,69574.85,0,17.18
2,total,-,24120,36480,120,189,65,13620,0,12811.919999999998,12196.919999999998,15,1080,74329.01,0,16.93
3,total,-,24120,36480,120,196,67,13470,510,11114.439999999999,10499.439999999999,16,1080,75883.5,0,19.2
4,total,-,24120,36480,120,194,62,13710,120,10789.380000000001,10159.380000000001,17,1260,70439.95,0,17.65
