test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,14.0,1.88,990.0,18.75,605.73,474.48,7.0 - (42.09%),540.0 - (42.39%),18989.44,0,3.25
1,mean,-,1530.0,2280.0,7.5,14.25,2.12,986.25,3.75,608.38,501.51,10.0 - (53.34%),690.0 - (51.94%),21358.13,2.8885e-05,2.16
2,mean,-,1530.0,2280.0,7.5,15.12,0.88,1072.5,11.25,677.33,577.95,8.0 - (44.45%),540.0 - (41.3%),11972.36,0,4.33
3,mean,-,1530.0,2280.0,7.5,14.75,1.0,1068.75,7.5,456.07,354.82,8.0 - (46.53%),600.0 - (48.54%),12036.84,0,4.8
4,mean,-,1530.0,2280.0,7.5,14.38,0.88,1057.5,3.75,551.72,441.1,3.5 - (23.33%),285.0 - (23.69%),11443.71,0,2.56
5,mean,-,1530.0,2280.0,7.5,13.88,1.62,1020.0,15.0,475.26,344.01,6.5 - (40.38%),435.0 - (34.9%),16721.05,0,2.26
6,mean,-,1530.0,2280.0,7.5,14.88,1.0,1080.0,0.0,482.78,351.53,5.0 - (29.41%),330.0 - (27.31%),11898.11,7.7896e-05,3.68
7,mean,-,1530.0,2280.0,7.5,15.12,1.0,1065.0,52.5,462.57,350.07,10.5 - (53.17%),660.0 - (52.98%),12126.61,0,2.28

0,total,-,12240,18240,60,112,15,7920,150,4845.8099999999995,3795.81,14,1080,18989.44,0,3.25
1,total,-,12240,18240,60,114,17,7890,30,4867.0599999999995,4012.0599999999995,20,1380,21358.13,2.8885e-05,2.16
2,total,-,12240,18240,60,121,7,8580,90,5418.62,4623.62,16,1080,11972.36,0,4.33
3,total,-,12240,18240,60,118,8,8550,60,3648.55,2838.55,16,1200,12036.84,0,4.8
4,total,-,12240,18240,60,115,7,8460,30,4413.799999999999,3528.7999999999997,7,570,11443.71,0,2.56
5,total,-,12240,18240,60,111,13,8160,120,3802.08,2752.08,13,870,16721.05,0,2.26
6,total,-,12240,18240,60,119,8,8640,0,3862.26,2812.26,10,660,11898.11,7.7896e-05,3.68
7,total,-,12240,18240,60,121,8,8520,420,3700.56,2800.56,21,1320,12126.61,0,2.28
