test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,10.88,5.56,744.38,3.75,766.28,728.78,1.75 - (19.56%),142.5 - (20.62%),96889.42,0,19.46
1,mean,-,1507.5,2280.0,7.5,11.38,4.12,832.5,0.0,697.32,654.2,3.0 - (26.7%),247.5 - (27.67%),74383.55,1.2891e-05,18.49
2,mean,-,1507.5,2280.0,7.5,11.56,4.12,828.75,3.75,645.16,596.41,3.0 - (25.95%),180.0 - (24.01%),74252.68,6.251e-05,23.07
3,mean,-,1507.5,2280.0,7.5,11.94,3.69,855.0,30.0,743.79,701.6,4.5 - (37.88%),285.0 - (36.09%),67517.08,0,19.5
4,mean,-,1507.5,2280.0,7.5,11.19,4.94,765.0,3.75,646.02,595.4,3.75 - (36.25%),240.0 - (36.32%),86451.02,0,16.88

0,total,-,24120,36480,120,174,89,11910,60,12260.53,11660.53,7,570,96889.42,0,19.46
1,total,-,24120,36480,120,182,66,13320,0,11157.199999999999,10467.199999999999,12,990,74383.55,1.2891e-05,18.49
2,total,-,24120,36480,120,185,66,13260,60,10322.54,9542.54,12,720,74252.68,6.251e-05,23.07
3,total,-,24120,36480,120,191,59,13680,480,11900.630000000001,11225.630000000001,18,1140,67517.08,0,19.5
4,total,-,24120,36480,120,179,79,12240,60,10336.330000000002,9526.33,15,960,86451.02,0,16.88
