operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,8,17,2,1320,0,633,528,10 - (58.82)%,780 - (59.09)%
1,0,900,2280,6,10,0,780,0,316,241,0 - (0.00)%,0 - (0.00)%
2,0,1620,2280,9,12,0,780,0,474,354,0 - (0.00)%,0 - (0.00)%
3,0,1080,2280,7,19,0,1230,150,526,361,0 - (0.00)%,0 - (0.00)%
4,0,1440,2280,4,11,0,810,0,431,356,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,11,18,4,1170,0,778,673,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,10,22,3,1590,0,829,664,14 - (63.64)%,1020 - (64.15)%
7,0,1260,2280,5,11,0,750,0,289,124,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.0,1.12,1053.75,18.75,534.5,412.62,12.0 - (61.23%),900.0 - (61.62%)
min,-,900,-,4,10,0,750,0,289,124,10 - (58.82%),780 - (59.09%)
25th percentile,-,1215.0,-,5.75,11.0,0.0,780.0,0.0,402.25,325.75,11.0 - (60.02%),840.0 - (60.36%)
75th percentile,-,1845.0,-,9.25,18.25,2.25,1252.5,0.0,669.25,562.0,13.0 - (62.44%),960.0 - (62.89%)
max,-,2160,-,11,22,4,1590,150,829,673,14 - (63.64%),1020 - (64.15%)
total,-,12240,18240,60,120,9,8430,150,4276,3301,24,1800
