test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,15.0,0.75,1087.5,26.25,528.0,372.38,6.0 - (41.42%),540.0 - (47.24%),9903.01,7.6928e-05,15.58
1,mean,-,1530.0,2280.0,7.5,14.38,0.75,1076.25,15.0,581.5,474.62,6.5 - (40.28%),480.0 - (39.7%),10241.72,0,11.09
2,mean,-,1530.0,2280.0,7.5,14.75,1.0,1053.75,0.0,529.62,398.38,6.0 - (40.0%),405.0 - (36.14%),11856,0,2.48
3,mean,-,1530.0,2280.0,7.5,15.62,0.25,1121.25,0.0,481.38,337.0,9.0 - (51.63%),555.0 - (48.62%),5833,0,76.43
4,mean,-,1530.0,2280.0,7.5,15.5,1.0,1046.25,0.0,649.62,531.5,6.0 - (33.34%),390.0 - (34.84%),11871,8.7997e-05,5.04
5,mean,-,1530.0,2280.0,7.5,15.62,0.25,1113.75,15.0,525.62,394.38,6.0 - (39.74%),360.0 - (33.97%),6100.72,0,6.53
6,mean,-,1530.0,2280.0,7.5,15.0,0.5,1098.75,0.0,397.75,268.38,10.5 - (52.8%),630.0 - (51.26%),7300,9.2775e-05,37.48
7,mean,-,1530.0,2280.0,7.5,14.88,0.62,1095.0,37.5,469.88,338.62,7.5 - (42.81%),585.0 - (43.48%),8985.3,8.3987e-05,13.53
8,mean,-,1530.0,2280.0,7.5,15.0,1.12,1053.75,15.0,426.25,278.12,10.0 - (52.83%),795.0 - (54.9%),12545.72,1.6473e-05,21.04
9,mean,-,1530.0,2280.0,7.5,15.25,0.12,1132.5,48.75,441.0,322.88,8.5 - (53.57%),600.0 - (47.7%),4976.59,1.4066e-05,20.8

0,total,-,12240,18240,60,120,6,8700,210,4224,2979,12,1080,9903.01,7.6928e-05,15.58
1,total,-,12240,18240,60,115,6,8610,120,4652,3797,13,960,10241.72,0,11.09
2,total,-,12240,18240,60,118,8,8430,0,4237,3187,12,810,11856,0,2.48
3,total,-,12240,18240,60,125,2,8970,0,3851,2696,18,1110,5833,0,76.43
4,total,-,12240,18240,60,124,8,8370,0,5197,4252,12,780,11871,8.7997e-05,5.04
5,total,-,12240,18240,60,125,2,8910,120,4205,3155,12,720,6100.72,0,6.53
6,total,-,12240,18240,60,120,4,8790,0,3182,2147,21,1260,7300,9.2775e-05,37.48
7,total,-,12240,18240,60,119,5,8760,300,3759,2709,15,1170,8985.3,8.3987e-05,13.53
8,total,-,12240,18240,60,120,9,8430,120,3410,2225,20,1590,12545.72,1.6473e-05,21.04
9,total,-,12240,18240,60,122,1,9060,390,3528,2583,17,1200,4976.59,1.4066e-05,20.8
