operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,9,20,0,1410,0,555,330,10 - (50.00)%,690 - (48.94)%
1,1,2160,2280,10,19,4,1230,0,590,380,7 - (36.84)%,420 - (34.15)%
2,0,1620,2280,11,19,1,1410,0,420,210,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,5,9,0,720,0,322,262,0 - (0.00)%,0 - (0.00)%
4,0,1800,2280,9,15,0,1080,0,503,398,0 - (0.00)%,0 - (0.00)%
5,0,1080,2280,6,16,0,1050,0,823,763,0 - (0.00)%,0 - (0.00)%
6,0,1260,2280,6,14,0,1050,0,455,380,0 - (0.00)%,0 - (0.00)%
7,0,1440,2280,4,11,0,750,0,225,0,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.38,0.62,1087.5,0.0,486.62,340.38,8.5 - (43.42%),555.0 - (41.54%)
min,-,900,-,4,9,0,720,0,225,0,7 - (36.84%),420 - (34.15%)
25th percentile,-,1215.0,-,5.75,13.25,0.0,975.0,0.0,395.5,249.0,7.75 - (40.13%),487.5 - (37.85%)
75th percentile,-,1845.0,-,9.25,19.0,0.25,1275.0,0.0,563.75,384.5,9.25 - (46.71%),622.5 - (45.24%)
max,-,2160,-,11,20,4,1410,0,823,763,10 - (50.00%),690 - (48.94%)
total,-,12240,18240,60,123,5,8700,0,3893,2723,17,1110
