operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1800,2280,5,11,0,870,0,495.47,360.47,0 - (0.00)%,0 - (0.00)%
1,1,1980,2280,12,22,1,1590,0,825.14,690.14,17 - (77.27)%,1290 - (81.13)%
2,0,1260,2280,7,14,5,1140,0,599.63,554.63,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,4,5,1,450,0,137.83,47.83,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,9,16,1,1260,0,503.85,353.85,8 - (50.00)%,630 - (50.00)%
5,0,1080,2280,10,17,4,1050,0,552.53,447.53,0 - (0.00)%,0 - (0.00)%
6,0,1440,2280,6,8,2,660,0,450.47,360.47,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,7,12,1,960,0,331.24,211.24,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.12,1.88,997.5,0.0,487.02,378.27,12.5 - (63.63%),960.0 - (65.56%)
min,-,900,-,4,5,0,450,0,137.83,47.83,8 - (50.00%),630 - (50.00%)
25th percentile,-,1215.0,-,5.75,10.25,1.0,817.5,0.0,420.66,318.2,10.25 - (56.82%),795.0 - (57.78%)
75th percentile,-,1845.0,-,9.25,16.25,2.5,1170.0,0.0,564.3,474.3,14.75 - (70.45%),1125.0 - (73.35%)
max,-,2160,-,12,22,5,1590,0,825.14,690.14,17 - (77.27%),1290 - (81.13%)
total,-,12240,18240,60,105,15,7980,0,3896.1600000000003,3026.1600000000003,25,1920
