operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2040,2280,7,18,3,1140,0,1008.99,978.99,5 - (27.78)%,360 - (31.58)%
1,0,900,2280,10,16,5,1230,330,1218.2,1158.2,0 - (0.00)%,0 - (0.00)%
2,0,1140,2280,7,14,3,1020,0,797.92,737.92,0 - (0.00)%,0 - (0.00)%
3,0,1200,2280,8,12,2,720,0,695.69,650.69,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,7,14,0,1050,0,836.59,791.59,7 - (50.00)%,630 - (60.00)%
5,0,1320,2280,10,16,5,1110,0,1269.61,1194.61,0 - (0.00)%,0 - (0.00)%
6,0,1020,2280,5,10,0,660,0,688.33,613.33,0 - (0.00)%,0 - (0.00)%
7,0,960,2280,4,8,0,660,0,718.2,703.2,0 - (0.00)%,0 - (0.00)%
8,0,1560,2280,8,19,1,1230,0,1225.99,1195.99,0 - (0.00)%,0 - (0.00)%
9,0,1740,2280,11,12,10,720,0,1203.24,1143.24,0 - (0.00)%,0 - (0.00)%
10,0,1380,2280,7,10,2,720,0,764.37,719.37,0 - (0.00)%,0 - (0.00)%
11,0,1440,2280,9,14,6,1110,0,563.0,443.0,0 - (0.00)%,0 - (0.00)%
12,0,1620,2280,8,15,1,1080,0,1000.8,925.8,0 - (0.00)%,0 - (0.00)%
13,0,1800,2280,4,8,0,660,0,814.39,814.39,0 - (0.00)%,0 - (0.00)%
14,1,1980,2280,8,14,3,1020,0,1196.59,1106.59,2 - (14.29)%,120 - (11.76)%
15,1,1860,2280,7,18,0,1080,0,1109.99,1049.99,11 - (61.11)%,660 - (61.11)%

mean,-,1507.5,2280.0,7.5,13.62,2.56,950.62,20.62,944.49,889.18,6.25 - (38.3%),442.5 - (41.11%)
min,-,900,-,4,8,0,660,0,563.0,443.0,2 - (14.29%),120 - (11.76%)
25th percentile,-,1185.0,-,7.0,11.5,0.0,720.0,0.0,752.83,715.33,4.25 - (24.41%),300.0 - (26.62%)
75th percentile,-,1815.0,-,8.25,16.0,3.5,1110.0,0.0,1198.25,1115.75,8.0 - (52.78%),637.5 - (60.28%)
max,-,2160,-,11,19,10,1230,330,1269.61,1195.99,11 - (61.11%),660 - (61.11%)
total,-,24120,36480,120,218,41,15210,330,15111.9,14226.9,25,1770
