operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,7,12,0,960,0,577,442,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,8,15,2,1200,0,403,253,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,12,25,5,1560,0,748,553,20 - (80.00)%,1260 - (80.77)%
3,0,1080,2280,9,15,0,1020,0,560,425,0 - (0.00)%,0 - (0.00)%
4,0,900,2280,6,11,4,720,0,516,441,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,6,12,4,810,0,575,560,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,10,15,5,930,0,653,563,8 - (53.33)%,480 - (51.61)%
7,0,1260,2280,2,6,0,360,0,550,520,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.88,2.5,945.0,0.0,572.75,469.62,14.0 - (66.66%),870.0 - (66.19%)
min,-,900,-,2,6,0,360,0,403,253,8 - (53.33%),480 - (51.61%)
25th percentile,-,1215.0,-,6.0,11.75,0.0,787.5,0.0,541.5,437.0,11.0 - (60.0%),675.0 - (58.9%)
75th percentile,-,1845.0,-,9.25,15.0,4.25,1065.0,0.0,596.0,554.75,17.0 - (73.33%),1065.0 - (73.48%)
max,-,2160,-,12,25,5,1560,0,748,563,20 - (80.00%),1260 - (80.77%)
total,-,12240,18240,60,111,20,7560,0,4582,3757,28,1740
