operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,1,2,0,240,0,60,0,0 - (0.00)%,0 - (0.00)%
1,0,1800,2280,10,14,3,1140,0,716,596,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,7,12,0,1080,0,447,312,0 - (0.00)%,0 - (0.00)%
3,1,1980,2280,9,19,0,1260,0,740,575,10 - (52.63)%,600 - (47.62)%
4,0,1260,2280,9,17,2,1320,60,636,501,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,8,16,1,1260,0,806,656,10 - (62.50)%,870 - (69.05)%
6,0,1080,2280,6,13,0,840,0,463,358,0 - (0.00)%,0 - (0.00)%
7,0,900,2280,10,19,2,1410,510,555,390,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.0,1.0,1068.75,71.25,552.88,423.5,10.0 - (57.56%),735.0 - (58.33%)
min,-,900,-,1,2,0,240,0,60,0,10 - (52.63%),600 - (47.62%)
25th percentile,-,1215.0,-,6.75,12.75,0.0,1020.0,0.0,459.0,346.5,10.0 - (55.1%),667.5 - (52.98%)
75th percentile,-,1845.0,-,9.25,17.5,2.0,1275.0,15.0,722.0,580.25,10.0 - (60.03%),802.5 - (63.69%)
max,-,2160,-,10,19,3,1410,510,806,656,10 - (62.50%),870 - (69.05%)
total,-,12240,18240,60,112,8,8550,570,4423,3388,20,1470
