operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,10,18,1,1260,0,588.01,528.01,8 - (44.44)%,600 - (47.62)%
1,0,1260,2280,9,20,2,1350,90,806.03,671.03,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,10,15,9,1020,120,614.14,479.14,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,6,14,0,900,0,680.12,635.12,8 - (57.14)%,510 - (56.67)%
4,0,1800,2280,4,6,0,360,0,234.47,204.47,0 - (0.00)%,0 - (0.00)%
5,0,1620,2280,6,11,1,930,0,452.07,392.07,0 - (0.00)%,0 - (0.00)%
6,0,1080,2280,6,11,0,900,0,452.07,392.07,0 - (0.00)%,0 - (0.00)%
7,0,1440,2280,9,15,4,1050,0,402.89,297.89,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.75,2.12,971.25,26.25,528.72,449.98,8.0 - (50.79%),555.0 - (52.14%)
min,-,900,-,4,6,0,360,0,234.47,204.47,8 - (44.44%),510 - (47.62%)
25th percentile,-,1215.0,-,6.0,11.0,0.0,900.0,0.0,439.78,368.52,8.0 - (47.61%),532.5 - (49.88%)
75th percentile,-,1845.0,-,9.25,15.75,2.5,1102.5,22.5,630.64,554.79,8.0 - (53.96%),577.5 - (54.41%)
max,-,2160,-,10,20,9,1350,120,806.03,671.03,8 - (57.14%),600 - (56.67%)
total,-,12240,18240,60,110,17,7770,210,4229.8,3599.8,16,1110
