operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1800,2280,9,18,0,1350,0,669,564,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,3,6,0,360,0,135,0,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,7,13,2,1020,120,564,444,0 - (0.00)%,0 - (0.00)%
3,0,1260,2280,5,7,0,480,0,391,361,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,7,15,2,1110,0,998,908,7 - (46.67)%,480 - (43.24)%
5,0,1080,2280,8,15,0,1170,90,1145,1040,0 - (0.00)%,0 - (0.00)%
6,0,1620,2280,9,20,1,1500,0,725,590,0 - (0.00)%,0 - (0.00)%
7,1,2160,2280,12,20,6,1350,0,761,626,7 - (35.00)%,420 - (31.11)%

mean,-,1530.0,2280.0,7.5,14.25,1.38,1042.5,26.25,673.5,566.62,7.0 - (40.84%),450.0 - (37.17%)
min,-,900,-,3,6,0,360,0,135,0,7 - (35.00%),420 - (31.11%)
25th percentile,-,1215.0,-,6.5,11.5,0.0,885.0,0.0,520.75,423.25,7.0 - (37.92%),435.0 - (34.14%)
75th percentile,-,1845.0,-,9.0,18.5,2.0,1350.0,22.5,820.25,696.5,7.0 - (43.75%),465.0 - (40.21%)
max,-,2160,-,12,20,6,1500,120,1145,1040,7 - (46.67%),480 - (43.24%)
total,-,12240,18240,60,114,11,8340,210,5388,4533,14,900
