operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2160,2280,9,19,6,1200,0,618,498,11 - (57.89)%,720 - (60.00)%
1,0,1620,2280,9,20,4,1440,0,592,487,0 - (0.00)%,0 - (0.00)%
2,0,1080,2280,5,12,0,900,0,440,320,0 - (0.00)%,0 - (0.00)%
3,0,1260,2280,10,17,1,1140,0,720,540,0 - (0.00)%,0 - (0.00)%
4,0,900,2280,8,18,0,1380,480,717,627,0 - (0.00)%,0 - (0.00)%
5,0,1800,2280,2,4,0,330,0,105,0,0 - (0.00)%,0 - (0.00)%
6,1,1980,2280,11,20,2,1260,0,807,672,12 - (60.00)%,720 - (57.14)%
7,0,1440,2280,6,9,0,600,0,450,405,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.88,1.62,1031.25,60.0,556.12,443.62,11.5 - (58.95%),720.0 - (58.57%)
min,-,900,-,2,4,0,330,0,105,0,11 - (57.89%),720 - (57.14%)
25th percentile,-,1215.0,-,5.75,11.25,0.0,825.0,0.0,447.5,383.75,11.25 - (58.42%),720.0 - (57.86%)
75th percentile,-,1845.0,-,9.25,19.25,2.5,1290.0,0.0,717.75,561.75,11.75 - (59.47%),720.0 - (59.28%)
max,-,2160,-,11,20,6,1440,480,807,672,12 - (60.00%),720 - (60.00%)
total,-,12240,18240,60,119,13,8250,480,4449,3549,23,1440
