test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,13.88,1.88,967.5,39.38,725.28,657.78,5.5 - (31.21%),352.5 - (30.51%),39761.51,0,28.56
1,mean,-,1507.5,2280.0,7.5,15.12,0.62,1093.12,7.5,779.88,731.13,6.25 - (36.44%),435.0 - (35.68%),20972.19,0,34.3
2,mean,-,1507.5,2280.0,7.5,14.25,1.62,1006.88,15.0,733.26,655.44,9.25 - (54.28%),600.0 - (51.65%),35916.76,7.402e-05,38.65
3,mean,-,1507.5,2280.0,7.5,14.31,1.5,1023.75,41.25,736.65,675.72,8.75 - (53.97%),660.0 - (53.7%),34618.21,0,22.7
4,mean,-,1507.5,2280.0,7.5,14.81,1.12,1048.12,1.88,731.28,657.21,8.25 - (46.53%),592.5 - (47.94%),28421.45,8.1885e-05,35.12

0,total,-,24120,36480,120,222,30,15480,630,11604.48,10524.48,22,1410,39761.51,0,28.56
1,total,-,24120,36480,120,242,10,17490,120,12478.02,11698.02,25,1740,20972.19,0,34.3
2,total,-,24120,36480,120,228,26,16110,240,11732.11,10487.11,37,2400,35916.76,7.402e-05,38.65
3,total,-,24120,36480,120,229,24,16380,660,11786.470000000001,10811.470000000001,35,2640,34618.21,0,22.7
4,total,-,24120,36480,120,237,18,16770,30,11700.43,10515.43,33,2370,28421.45,8.1885e-05,35.12
