test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,13.38,2.56,950.62,18.75,820.31,782.81,5.75 - (37.33%),345.0 - (32.04%),51586.56,3.5731e-05,21.53
1,mean,-,1507.5,2280.0,7.5,13.31,2.69,945.0,3.75,788.65,742.71,6.75 - (44.98%),502.5 - (48.14%),53873.82,9.0211e-05,19.45
2,mean,-,1507.5,2280.0,7.5,13.5,2.38,960.0,20.62,791.73,756.1,6.75 - (41.28%),442.5 - (40.03%),48848.68,0,20.92
3,mean,-,1507.5,2280.0,7.5,13.19,2.0,980.62,37.5,707.99,675.18,4.5 - (32.24%),322.5 - (32.3%),42112.59,0,19.37
4,mean,-,1507.5,2280.0,7.5,13.06,2.88,924.38,18.75,678.96,625.53,4.5 - (31.3%),337.5 - (31.74%),55247.55,0,18.19

0,total,-,24120,36480,120,214,41,15210,300,13124.92,12524.92,23,1380,51586.56,3.5731e-05,21.53
1,total,-,24120,36480,120,213,43,15120,60,12618.37,11883.37,27,2010,53873.82,9.0211e-05,19.45
2,total,-,24120,36480,120,216,38,15360,330,12667.61,12097.61,27,1770,48848.68,0,20.92
3,total,-,24120,36480,120,211,32,15690,600,11327.849999999999,10802.849999999999,18,1290,42112.59,0,19.37
4,total,-,24120,36480,120,209,46,14790,300,10863.43,10008.43,18,1350,55247.55,0,18.19
