operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,7,15,2,1020,0,452,332,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,7,12,0,900,0,426,321,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,11,20,6,1440,0,693,543,9 - (45.00)%,720 - (50.00)%
3,0,1260,2280,7,17,0,1290,30,476,296,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,9,16,0,1080,0,412,232,0 - (0.00)%,0 - (0.00)%
5,0,1080,2280,3,7,0,420,0,360,360,0 - (0.00)%,0 - (0.00)%
6,0,1800,2280,7,17,0,1110,0,551,416,0 - (0.00)%,0 - (0.00)%
7,1,2160,2280,9,18,1,1260,0,715,610,8 - (44.44)%,600 - (47.62)%

mean,-,1530.0,2280.0,7.5,15.25,1.12,1065.0,3.75,510.62,388.75,8.5 - (44.72%),660.0 - (48.81%)
min,-,900,-,3,7,0,420,0,360,232,8 - (44.44%),600 - (47.62%)
25th percentile,-,1215.0,-,7.0,14.25,0.0,990.0,0.0,422.5,314.75,8.25 - (44.58%),630.0 - (48.22%)
75th percentile,-,1845.0,-,9.0,17.25,1.25,1267.5,0.0,586.5,447.75,8.75 - (44.86%),690.0 - (49.4%)
max,-,2160,-,11,20,6,1440,30,715,610,9 - (45.00%),720 - (50.00%)
total,-,12240,18240,60,122,9,8520,30,4085,3110,17,1320
