operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,8,14,0,900,0,397,262,0 - (0.00)%,0 - (0.00)%
1,1,1980,2280,10,20,1,1350,0,623,518,10 - (50.00)%,660 - (48.89)%
2,0,1620,2280,8,20,0,1440,0,483,288,0 - (0.00)%,0 - (0.00)%
3,0,1080,2280,8,13,2,900,0,440,350,0 - (0.00)%,0 - (0.00)%
4,0,1800,2280,5,8,0,630,0,267,192,0 - (0.00)%,0 - (0.00)%
5,0,1260,2280,4,8,0,630,0,302,242,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,10,18,7,1290,0,563,338,12 - (66.67)%,840 - (65.12)%
7,0,1440,2280,7,18,0,1350,0,425,230,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.88,1.25,1061.25,0.0,437.5,302.5,11.0 - (58.34%),750.0 - (57.0%)
min,-,900,-,4,8,0,630,0,267,192,10 - (50.00%),660 - (48.89%)
25th percentile,-,1215.0,-,6.5,11.75,0.0,832.5,0.0,373.25,239.0,10.5 - (54.17%),705.0 - (52.95%)
75th percentile,-,1845.0,-,8.5,18.5,1.25,1350.0,0.0,503.0,341.0,11.5 - (62.5%),795.0 - (61.06%)
max,-,2160,-,10,20,7,1440,0,623,518,12 - (66.67%),840 - (65.12%)
total,-,12240,18240,60,119,10,8490,0,3500,2420,22,1500
