operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,8,16,3,1050,150,438.31,288.31,0 - (0.00)%,0 - (0.00)%
1,0,1260,2280,6,9,5,600,0,696.03,666.03,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,7,18,0,1140,0,551.02,356.02,8 - (44.44)%,480 - (42.11)%
3,0,1440,2280,4,6,1,540,0,490.49,445.49,0 - (0.00)%,0 - (0.00)%
4,0,1800,2280,11,20,1,1530,0,706.84,556.84,0 - (0.00)%,0 - (0.00)%
5,1,1980,2280,10,21,2,1380,0,831.63,726.63,12 - (57.14)%,780 - (56.52)%
6,0,1620,2280,5,11,1,750,0,854.58,749.58,0 - (0.00)%,0 - (0.00)%
7,0,1080,2280,9,14,3,1020,0,665.42,590.42,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.38,2.0,1001.25,18.75,654.29,547.42,10.0 - (50.79%),630.0 - (49.31%)
min,-,900,-,4,6,0,540,0,438.31,288.31,8 - (44.44%),480 - (42.11%)
25th percentile,-,1215.0,-,5.75,10.5,1.0,712.5,0.0,535.89,423.12,9.0 - (47.61%),555.0 - (45.71%)
75th percentile,-,1845.0,-,9.25,18.5,3.0,1200.0,0.0,738.04,681.18,11.0 - (53.96%),705.0 - (52.92%)
max,-,2160,-,11,21,5,1530,150,854.58,749.58,12 - (57.14%),780 - (56.52%)
total,-,12240,18240,60,115,16,8010,150,5234.32,4379.32,20,1260
