operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,7,14,2,960,0,492,387,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,10,20,5,1380,0,612,507,11 - (55.00)%,750 - (54.35)%
2,0,1440,2280,6,7,0,540,0,352,322,0 - (0.00)%,0 - (0.00)%
3,0,1080,2280,8,14,2,900,0,683,578,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,8,16,2,1320,0,721,616,8 - (50.00)%,660 - (50.00)%
5,0,900,2280,3,5,0,360,0,272,212,0 - (0.00)%,0 - (0.00)%
6,0,1260,2280,9,17,1,1290,30,455,320,0 - (0.00)%,0 - (0.00)%
7,0,1800,2280,9,17,2,1320,0,587,512,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.75,1.75,1008.75,3.75,521.75,431.75,9.5 - (52.5%),705.0 - (52.18%)
min,-,900,-,3,5,0,360,0,272,212,8 - (50.00%),660 - (50.00%)
25th percentile,-,1215.0,-,6.75,12.25,0.75,810.0,0.0,429.25,321.5,8.75 - (51.25%),682.5 - (51.09%)
75th percentile,-,1845.0,-,9.0,17.0,2.0,1320.0,0.0,629.75,528.5,10.25 - (53.75%),727.5 - (53.26%)
max,-,2160,-,10,20,5,1380,30,721,616,11 - (55.00%),750 - (54.35%)
total,-,12240,18240,60,110,14,8070,30,4174,3454,19,1410
