test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,15.12,0.88,1065.0,41.25,646.38,520.75,8.5 - (50.0%),570.0 - (47.46%),11660.73,2.9329e-05,6.02
1,mean,-,1530.0,2280.0,7.5,14.88,0.88,1068.75,37.5,444.12,299.75,8.5 - (51.28%),660.0 - (51.94%),10677.3,0,4.62
2,mean,-,1530.0,2280.0,7.5,15.88,0.75,1057.5,37.5,590.12,430.75,3.5 - (25.0%),210.0 - (21.67%),9861.3,0,2.35
3,mean,-,1530.0,2280.0,7.5,14.5,0.88,1065.0,0.0,531.88,402.5,8.5 - (53.12%),750.0 - (60.76%),11341,4.4088e-05,4.77
4,mean,-,1530.0,2280.0,7.5,15.38,0.38,1113.75,37.5,686.5,600.25,8.5 - (49.16%),615.0 - (49.22%),7718.3,0,7.07
5,mean,-,1530.0,2280.0,7.5,15.12,1.12,1046.25,0.0,495.25,315.25,11.5 - (63.89%),795.0 - (62.64%),13095,3.8183e-05,4.15
6,mean,-,1530.0,2280.0,7.5,15.0,0.38,1106.25,15.0,459.75,336.0,8.5 - (51.07%),570.0 - (49.02%),7112.72,0,2.65
7,mean,-,1530.0,2280.0,7.5,13.88,0.88,1068.75,45.0,512.25,394.12,12.0 - (63.84%),975.0 - (66.71%),10627.16,6.103e-05,5.08
8,mean,-,1530.0,2280.0,7.5,15.38,0.25,1136.25,0.0,424.25,272.38,10.5 - (53.29%),810.0 - (54.19%),5957,4.9501e-05,7.85
9,mean,-,1530.0,2280.0,7.5,14.0,1.0,1068.75,71.25,552.88,423.5,10.0 - (57.56%),735.0 - (58.33%),11946.17,0,4.61

0,total,-,12240,18240,60,121,7,8520,330,5171,4166,17,1140,11660.73,2.9329e-05,6.02
1,total,-,12240,18240,60,119,7,8550,300,3553,2398,17,1320,10677.3,0,4.62
2,total,-,12240,18240,60,127,6,8460,300,4721,3446,7,420,9861.3,0,2.35
3,total,-,12240,18240,60,116,7,8520,0,4255,3220,17,1500,11341,4.4088e-05,4.77
4,total,-,12240,18240,60,123,3,8910,300,5492,4802,17,1230,7718.3,0,7.07
5,total,-,12240,18240,60,121,9,8370,0,3962,2522,23,1590,13095,3.8183e-05,4.15
6,total,-,12240,18240,60,120,3,8850,120,3678,2688,17,1140,7112.72,0,2.65
7,total,-,12240,18240,60,111,7,8550,360,4098,3153,24,1950,10627.16,6.103e-05,5.08
8,total,-,12240,18240,60,123,2,9090,0,3394,2179,21,1620,5957,4.9501e-05,7.85
9,total,-,12240,18240,60,112,8,8550,570,4423,3388,20,1470,11946.17,0,4.61
