operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1260,2280,6,12,0,1020,0,371.45,281.45,0 - (0.00)%,0 - (0.00)%
1,0,1800,2280,6,13,0,1050,0,396.82,306.82,0 - (0.00)%,0 - (0.00)%
2,0,1080,2280,7,12,1,960,0,500.02,425.02,0 - (0.00)%,0 - (0.00)%
3,0,1620,2280,4,8,0,570,0,197.21,122.21,0 - (0.00)%,0 - (0.00)%
4,0,900,2280,5,10,2,870,0,477.44,417.44,0 - (0.00)%,0 - (0.00)%
5,0,1440,2280,13,22,3,1530,90,555.61,330.61,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,9,14,1,990,0,563.91,458.91,9 - (64.29)%,690 - (69.70)%
7,1,1980,2280,10,21,2,1380,0,576.69,426.69,9 - (42.86)%,600 - (43.48)%

mean,-,1530.0,2280.0,7.5,14.0,1.12,1046.25,11.25,454.89,346.14,9.0 - (53.58%),645.0 - (56.59%)
min,-,900,-,4,8,0,570,0,197.21,122.21,9 - (42.86%),600 - (43.48%)
25th percentile,-,1215.0,-,5.75,11.5,0.0,937.5,0.0,390.48,300.48,9.0 - (48.22%),622.5 - (50.04%)
75th percentile,-,1845.0,-,9.25,15.75,2.0,1132.5,0.0,557.68,425.44,9.0 - (58.93%),667.5 - (63.14%)
max,-,2160,-,13,22,3,1530,90,576.69,458.91,9 - (64.29%),690 - (69.70%)
total,-,12240,18240,60,112,9,8370,90,3639.1499999999996,2769.15,18,1290
