operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1080,2280,7,15,1,1080,0,413.36,338.36,0 - (0.00)%,0 - (0.00)%
1,0,1620,2280,7,18,1,1320,0,676.0,481.0,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,7,14,1,960,0,368.96,263.96,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,7,14,0,840,0,326.85,146.85,0 - (0.00)%,0 - (0.00)%
4,0,1800,2280,9,17,0,1320,0,468.41,318.41,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,9,16,3,1140,0,389.79,209.79,5 - (31.25)%,300 - (26.32)%
6,1,1980,2280,9,16,4,1020,0,651.77,546.77,8 - (50.00)%,480 - (47.06)%
7,0,1260,2280,5,12,0,720,0,348.94,228.94,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.25,1.25,1050.0,0.0,455.51,316.76,6.5 - (40.62%),390.0 - (36.69%)
min,-,900,-,5,12,0,720,0,326.85,146.85,5 - (31.25%),300 - (26.32%)
25th percentile,-,1215.0,-,7.0,14.0,0.0,930.0,0.0,363.96,224.15,5.75 - (35.94%),345.0 - (31.51%)
75th percentile,-,1845.0,-,9.0,16.25,1.5,1185.0,0.0,514.25,374.02,7.25 - (45.31%),435.0 - (41.88%)
max,-,2160,-,9,18,4,1320,0,676.0,546.77,8 - (50.00%),480 - (47.06%)
total,-,12240,18240,60,122,10,8400,0,3644.08,2534.08,13,780
