operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1800,2280,8,13,3,960,0,752,662,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,7,11,3,960,0,385,250,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,9,18,1,1290,0,545,410,9 - (50.00)%,690 - (53.49)%
3,0,900,2280,9,16,1,1140,240,743,623,0 - (0.00)%,0 - (0.00)%
4,0,1080,2280,7,16,0,1080,0,449,329,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,9,16,1,1080,0,683,608,7 - (43.75)%,420 - (38.89)%
6,0,1260,2280,5,11,1,810,0,323,188,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,6,14,0,1170,0,420,315,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.38,1.25,1061.25,30.0,537.5,423.12,8.0 - (46.88%),555.0 - (46.19%)
min,-,900,-,5,11,0,810,0,323,188,7 - (43.75%),420 - (38.89%)
25th percentile,-,1215.0,-,6.75,12.5,0.75,960.0,0.0,411.25,298.75,7.5 - (45.31%),487.5 - (42.54%)
75th percentile,-,1845.0,-,9.0,16.0,1.5,1147.5,0.0,698.0,611.75,8.5 - (48.44%),622.5 - (49.84%)
max,-,2160,-,9,18,3,1290,240,752,662,9 - (50.00%),690 - (53.49%)
total,-,12240,18240,60,115,10,8490,240,4300,3385,16,1110
