operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,6,12,2,990,0,474,429,0 - (0.00)%,0 - (0.00)%
1,0,1620,2280,9,17,1,1290,0,691,571,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,8,14,1,1020,0,669,564,7 - (50.00)%,540 - (52.94)%
3,0,1080,2280,7,13,0,1020,0,442,337,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,8,14,5,1050,0,481,391,7 - (50.00)%,510 - (48.57)%
5,0,1800,2280,11,19,2,1260,0,496,331,0 - (0.00)%,0 - (0.00)%
6,0,900,2280,4,9,0,780,0,347,272,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,7,11,1,840,0,317,152,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.62,1.5,1031.25,0.0,489.62,380.88,7.0 - (50.0%),525.0 - (50.76%)
min,-,900,-,4,9,0,780,0,317,152,7 - (50.00%),510 - (48.57%)
25th percentile,-,1215.0,-,6.75,11.75,0.75,952.5,0.0,418.25,316.25,7.0 - (50.0%),517.5 - (49.66%)
75th percentile,-,1845.0,-,8.25,14.75,2.0,1102.5,0.0,539.25,462.75,7.0 - (50.0%),532.5 - (51.85%)
max,-,2160,-,11,19,5,1290,0,691,571,7 - (50.00%),540 - (52.94%)
total,-,12240,18240,60,109,12,8250,0,3917,3047,14,1050
